id,name,price,store
16153,KOŠARICE LISNATO 60 g 12/1 CONFILETA,4.99,konzum
6025,DESERT KIT KAT WHITE 41.50 g NESTLE,1.35,konzum
17010,KRUH POLUBIJELI REZANI 600 g,1.49,konzum
40501,VANILICE SA DŽEMOM OD ŠLJIVA 230 g,2.99,konzum
25419,PAPRIKA LJUTA kom,0.29,konzum
9146,GAZ PIĆE SCHWEPPES PURPLE TONIC 1 L,1.79,konzum
22832,NAPITAK MONSTER THROTTLE ZERO 0.5 L,1.95,konzum
31887,SALV NATUR PREM ZEL 33X33 3SL 30/1,0.99,konzum
47324,ŠUNKA DIMLJ SK ZA KUHANJE VP,8.69,konzum
19703,MAK MLJEVENI 200g ŠAFRAM,2.39,konzum
36170,SUNCOKRET PRŽ SL OLJUŠT 100g MOGYI,1.39,konzum
14477,KAŠICA HIPP PILE RIŽ POVRĆE 190g,1.99,konzum
23225,NEKTAR  NARANČA BRAVO 2L,3.99,konzum
23202,NEGAZ PIĆE JUICY FRUITS MULTI 1.5L,1.69,konzum
39690,ULJE MASLINOVO EX DJEV MONINI 1L,12.99,konzum
16921,KRUH BIJELI SENDVIČ 650g MLINAR,1.75,konzum
5089,CROISSANT 7DAYS MINI KAKAO 60g,1.09,konzum
4973,CORNFLAKES 1kg VENOSTA POHIT,4.65,konzum
31071,RIŽA NA MLIJEKU KLASSIK 125g DR OET,2.29,konzum
31087,RIŽA ZL POLJE ST ANDREA 1KG KUT VAK,4.99,konzum
11975,INSTANT KAVA GOLD 100g BOČICA FRANC,5.49,konzum
8515,FLIPS BOBI PIZZA 70g,0.95,konzum
6789,DODATAK ZA ČOBANAC BLAGI 80g BISTRO,1.19,konzum
2302,BOMBON KOMPRIMAT VAU VAU 20g,1.19,konzum
46595,ČOKOL MIKADO RIŽA 300g,4.49,konzum
27713,PJENA ZA KOSU  INTESA STRONG HOLD300 2238,3.49,konzum
18888,LIP BALM ROS SHINE BLIS 0105,1.0,konzum
43502,WC NET BIOLOŠKE SEPT JAME 16/1,9.65,konzum
2297,BOMBON KARAMELA LJEŠNJAK 100g PIONIR,1.69,konzum
46084,ČETKICA AQUA INTERDENTAL MED 2/1,3.79,konzum
27275,PIVO PAN LIM 0.5L 4 PACK,5.15,konzum
24883,PAHULJ LINO CRUNCH DUO PODR 225g,3.19,konzum
7014,DRESSING BALSAMICO 75ML DEVELEY,0.79,konzum
47232,ŠIŠ ČEVAPČIĆI S KAJMAKOM 520g RAWSTILJ PAN,5.29,konzum
46721,ČOKOLADA KINDER T12 150g,2.59,konzum
12309,JAJA SVJ K PLUS L 10/1 PODNI UZGOJ,2.99,konzum
47283,ŠTAPIĆI SALTAS KIKIRIKI 4PACK 160g,1.79,konzum
47248,ŠLAGFIX 3X8g DOLCELA,0.99,konzum
43561,WHISKAS DREAMIES SIR 60g,1.79,konzum
18989,LIZALICE MINI NIMM2 120g,2.35,konzum
9123,GAZ PIĆE PARTY COLA 2L,1.09,konzum
20225,MASLINE SNACK KALAMATA ODKOŠT 65g,2.59,konzum
20275,MASLINE ZELENE OTKOŠT 330g/160 g POD,2.89,konzum
6251,DET JAR LEMON 900ml,4.15,konzum
23226,NEKTAR ANANAS JUICY 1L,2.49,konzum
8718,FRISEE-RADIČ-MRKVA 400 grama,1.99,konzum
2989,BRISAČ PODA MOP CELUL ZAMJ KRPA DAX,1.59,konzum
44171,ZAČIN LOVOR LIST 5g VEGETA MAESTRO,0.89,konzum
16613,KREMA LOREAL DE AGE SPEC 65+ DAN 50ML,9.99,konzum
38400,TOAST K PLUS S MASLACEM 500g,1.75,konzum
19202,LOSION ZA TIJELO NIVEA ALOE&HYDRATION 250ml,4.0,konzum
14008,KAVA LAVAZZA CREME E GUSTO 250g,7.15,konzum
19835,MARAMICE VLAŽNE BLISTA DRVO 50/1,1.99,konzum
39127,TUNJ SALATA MEXICANA 160g EVA,4.29,konzum
25826,PAČJA PRSA cca 180-330g HUNENT,13.99,konzum
40157,UMAK RAJČICA I PARMIGIANO SIR 400g MUTTI,2.99,konzum
42534,VODA CEDEVITA VIT LIMUN ANANAS 0.5L ,1.15,konzum
13101,JUNEĆA PLJESKAVICA E450g PPK,4.49,konzum
20946,MIX NESCAFE STRONG 3U1 14g,0.35,konzum
33810,SKUŠA S POVRĆEM EVA 100g/70g,1.99,konzum
32623,SET DOVE W DEEPLY SG+LOS+KREMA,9.0,konzum
43602,WHISKAS TEMPTAT LOSOS 60g,1.89,konzum
21310,MLIJEKO TIJ OLEA HYDRATING 500ml,1.99,konzum
21667,MUESLI CRUNCHY FOREST FRUIT 300g,3.99,konzum
47076,ŠAMPON AFR KON KERATIN 950ml,5.59,konzum
311,AJVAR BLAGI 560g DOORA,3.32,konzum
22448,NAMAZ KIKIRIKI MASL 350G LINO,4.29,konzum
38870,TUBA NAT GERBER JAB BOR BAN 90 g,1.39,konzum
33904,SLAD CINQUE STELLE PISTACIJA 4x90 ml,5.99,konzum
16103,KORIJANDER 27 g VEGETA MAESTRO,1.59,konzum
25304,PAPAR CRNI MLJEVENI 50 g SPICE CHEF,0.79,konzum
14771,KEKS JIMMY NOISETTE 145g,2.69,konzum
47096,ŠAMPON H&S 2IN1 CLASSIC CLEAN 330 ml,6.69,konzum
9642,GEL TUŠ NIVEA FRUITY DELIGHT 250 ml,2.99,konzum
32686,SHEBA MM JUNIOR MIJ IZBOR LOS PIL 4X85 g,3.29,konzum
23183,NEG PIĆE TOCO LIMUN KRASTAVAC 0.5 L,1.05,konzum
35452,SOMAT EXCELLENCE 5IN1 20TAB,17.99,konzum
8443,FINISH QUANTUM AIO LEMON 36TAB,17.49,konzum
7620,DŽEM K PLUS EXTRA JAGODA 350g,2.49,konzum
44689,ZP PLIDENTA HERBAL 125 ml+75 ml,2.69,konzum
20333,MAYOKETCHUP 425g HEINZ,4.49,konzum
16869,KRPA POD 50X65 cm CS,1.79,konzum
23920,OAT BAR ZOE DOUBLE CHOCOLATE 65 g,1.69,konzum
30705,REGEN PANTENE COLOR 275 ml,5.99,konzum
3954,CAPPUCCINO NESCAFE IRISH 8/1 112 g,3.99,konzum
45755,ČAJ KADULJA LIST 40 g AGRISTAR,2.29,konzum
12212,JABUKA CRIMSON SNOW,1.99,konzum
33991,SLAD MACHO SENDVIČ 3X129 ml,5.99,konzum
6165,DET ARIEL FRESH 2.75 kg=50 PR,21.99,konzum
15991,KOMPOT BRESKVA POL 820/480 g EXCELS,2.99,konzum
6205,DET DAX COLOR 3.75 kg 50PR,6.99,konzum
43127,VREĆICE ZA LED LOPTA 180 kom ALUFIX,0.79,konzum
25401,PAPRIKA FEFERON 150 grama,1.69,konzum
2652,BOROVNICA 250 grama,2.99,konzum
362,AJVAR LJUTI 350g PODRAVKA,2.49,konzum
312,AJVAR BLAGI 680G,2.49,konzum
37279,TABASCO 60ML MC ILH,4.64,konzum
46319,ČIPS TORTILLA OBIĆNI 200g LA FIESTA,2.39,konzum
10290,GRAH SMEĐI 460g LIM PODRAVKA,2.19,konzum
28262,POSLASTICA SP BONAS PILET 80g VITAK,3.35,konzum
21547,MORTADELA VAC PIK VRBOVEC,10.89,konzum
33443,SIR TOPLJ DIMLJENI VELDHUYZEN,13.99,konzum
19629,MAJONEZA DELIKATES 400g ZVIJEZDA,3.99,konzum
33897,SLAD BOUNTY 6X39.1g MULTIPAK,5.49,konzum
6735,DN ULOŠCI ALWAYS NORM FR 58/1,3.32,konzum
2990,BRISAČ PODA MOP CELULOZA DRŠKA DAX,2.65,konzum
15095,KEKS ČAJNI KOLUTIĆI 800g BALADA,2.59,konzum
31307,RUM RON CALADOS TAMNI 700ml,9.69,konzum
5910,DEOSPREJ FA DIVINE MOMENTS 150ml,3.99,konzum
76,48 ZAŠTITNA KREMA ZA LICE I TIJELO 150ML,3.39,konzum
14960,KEKS PLAZMA MINI MINI 200g,2.25,konzum
21373,MLIJEKO ZAMJ APTAMIL 2 PRONUTRA 800g,21.99,konzum
41616,VINO MUŠKAT RUŽA 0.5L VINA LAGUNA,11.89,konzum
41574,VINO MERLOT VRH 0.75L VINA BELJE,14.99,konzum
1944,BOLERO CLASSIC LIMUN 9g,0.89,konzum
25436,PAPRIKA PEČENA K PLUS 680g/390g,2.79,konzum
20023,MASKA LICE AFR VIT REG 2X6ml,2.49,konzum
26066,PEDIGREE SCHMACKOS 86g,2.19,konzum
16974,KRUH KALNIČKI PAK 600g MLINAR,2.05,konzum
14700,KEKS FINESSE SOFT MUFFIN 175Gg,2.19,konzum
26120,PEL LUMPI XL 6 30/1,5.79,konzum
23999,OCAT BALZAMSKI 5 GR 0.25L SPECIAL MOMENTS,7.99,konzum
23211,NEGAZIRANO PIĆE JUMEX ANANAS KOKOS 0.473L,2.29,konzum
12257,JADRANSKA SRDELA ADRIA MARE 1KG,2.99,konzum
33631,SIRUP FRUTTI BOROVNICA 1L,1.55,konzum
37698,TIJESTO K PLUS GRAMIGNONE 027 500g,1.29,konzum
32091,SAPUN DALAN FRUIT GARDEN 100g,0.49,konzum
47059,ŠAMP GENERA KOPRIVA I EUKAL.500ml,2.29,konzum
40788,VINO  RUKATAC PALIHNIĆ 0.75l,5.29,konzum
21543,MORTADELA SAN GIORGIO 1/2 S PISTAC VAC GAV,8.49,konzum
24291,OM VIOLETA SENSITIVE 900ml,2.65,konzum
20317,MAST ZORINA 50g,8.19,konzum
20029,MASKA LICE WHY 4D COLLAG 12ml,2.49,konzum
9134,GAZ PIĆE PIPI MANDARINA-LUBENICA 0.5L,1.15,konzum
40195,UMAK SLATKO KISELI 400g BEN'S,3.69,konzum
29207,PUDING PROTEIN ČOKOLADA 200g ZOTT,1.06,konzum
44672,ZP PDX GUM+SENS&BREATH WHITE 75ml,6.99,konzum
9594,GEL TUŠ L'ANG NAR I VAN 500ml,3.25,konzum
9965,GIN MUSWELL HILL LONDON DRY 0.5L,7.29,konzum
40447,VAFL MANNER BRESKVA 185g,2.59,konzum
46828,ČOKOLADA VOLIM TE LJEŠ/BAD/KAR 100g,1.29,konzum
15313,KEČAP LJUTI 500g ZVIJEZDA,2.09,konzum
17282,KUKURUZ ŠEĆERAC 360g ST BONDUELL,2.69,konzum
8235,FEFERONI BLAGI 150g PODRAVKA,2.69,konzum
4326,CIKLA 360g ZVIJEZDA,2.39,konzum
33520,SIR TVRDI EMMENTALER K PLUS 300g,2.99,konzum
32228,SARDINA U BILJ ULJ AQ 73.5G,1.69,konzum
33358,SIR SVJ ZAGREB PRESIDENT 375g,2.99,konzum
13074,JUN VRAT SK  ,6.99,konzum
13070,JUN SL I LEĐA SK BB ,11.49,konzum
37545,TEL POTRB S GRUDI I REBR SK VAKLM,9.99,konzum
12319,JAJA SVJEŽA K PLUS M 6/1,2.19,konzum
41009,VINO CHARDONNAY KV 0.75L ILOČKI PODR,7.05,konzum
41721,VINO PLAVAC 0.75L BLATO,5.69,konzum
27819,PJENUŠAC FREIXENET CORD NEGRO BRUT 0.75L,11.99,konzum
18642,LIKER KRUŠKOVAC SVATOVSKI 1L 24% BAD,10.05,konzum
34933,SOK FRUTEK MRKVA 0.125L,0.99,konzum
34850,SOK CIKLA 750ml ENCIAN,3.35,konzum
24961,PALENTA MAXX 540g  FRANCK,1.39,konzum
2871,BRAŠNO NAMJ ZA KOL T-400 1kg ČAK ML,0.83,konzum
14394,KAŠA HAJDINA 500g ČAKOV MLINOVI,2.25,konzum
1464,BISKVIT BARNI CHOCO 30g,0.85,konzum
1466,BISKVIT BARNI MILK 150g,3.49,konzum
8166,FANT GULAŠ I PAPRIKAŠ 65g VREĆ PODR,1.39,konzum
28545,PRAŠAK ZA PECIVO 12g 5+1GRATIS PODRA,1.0,konzum
6026,DESERT KNOPPERS 25g,0.49,konzum
47104,ŠAMPON H&S 400ml ČISTA NJEGA,6.69,konzum
9629,GEL TUŠ NIVEA CARE 250ml,2.99,konzum
9588,GEL TUŠ K PLUS OLEA ROSE/JOG 300ml,1.19,konzum
21248,MLIJEKO DOVE ESSENT NOURISH 250ml,5.49,konzum
18095,LABELLO SUN PROTECT SF30 4.8g,4.59,konzum
2938,BRIJAČ GILL FUS POWER 1 CART,7.0,konzum
5087,CROISSANT 7DAYS MINI KAK/VAN 60g,1.09,konzum
27257,PIVO OŽUJSKO GREJP 0.50 POV BOCA,1.25,konzum
21064,MJEŠ ZAČ PILETINA 4 SIRA 32g MAGGI,1.49,konzum
44641,ZP KALODONT EXTRA CLEAN 75ml,1.59,konzum
32176,SAPUN ČVRSTI NIVEA SEA & MIN 90g,1.19,konzum
32631,SET JM LA BELLE (DEO 75ml+ PARFEM 50ml),7.69,konzum
37709,TIJESTO K PLUS SPIRALI PREMIUM 500g,1.39,konzum
46624,ČOKOL ZA KUH DESSERT NOIR 205g,5.49,konzum
35943,SREDSTVO IZBJELJIVAČ 1L DOMUS,1.99,konzum
5675,DEO REXONA W BLUE POP&APPLE 150ml,3.0,konzum
8204,FANT ZAP.TJ.ŠUNKA.SIR 40g PODRAVKA,1.39,konzum
35785,SPUŽVA KUHINJSKA FINO 5+1,1.89,konzum
2288,BOMBON KAR KIKI JAGODA 100g,1.29,konzum
44227,ZAČIN PAPAR MLJEV 45 g VEG MEASTR,3.39,konzum
8746,FRISKIES MM PIL. GOV. JANJ. PAČ 4X85g,2.29,konzum
37803,TIJESTO TAGLIATELLE S JAJIMA 250g AGNESI,1.5,konzum
44307,ZAČINSKO BILJE DALMATI 14g VR KOTANY,1.15,konzum
45691,ČAJ DETOX METV/MASL/STOL 20X1.5g NATURA,2.19,konzum
16302,KREKER 5 ŽITARICA BG 150g ŽITO,4.59,konzum
47089,ŠAMPON FRUCT HAIR F PAP 350ml,2.0,konzum
24874,PAH ZOBENE RISE&SMILE KRUPNE 500g,0.79,konzum
44109,ZAČIN CIMET U KORI VR 10g VEGETA MAESTRO,1.19,konzum
19826,MARAMICE VL ASEPSOL FRESH 20/1,1.75,konzum
33943,SLAD KING CLASSIC LIGHT 100ml LEDO,2.79,konzum
31992,SALVETE PALOMA ELITE 33x33 3sl 16/1,2.55,konzum
428,ALU POSUDA+POKL F&P 750ml 4/1,1.59,konzum
47289,ŠTAPIĆI ZA UŠI BIOR OLEA 300/1,1.05,konzum
18503,LIGNJA PATAGONICA KOL I KR OCEAN 400g,5.49,konzum
29326,PUR.PLJESKAVICE SA SIROM 200 g SVJ VINDIJA ,2.99,konzum
32114,SAPUN LAHOR ANTIBACTERIAL 80g,0.89,konzum
15315,KH-7 ODMAŠĆIVAČ+KAMENAC PROMO,5.99,konzum
24917,PAHULJICE LUMPI DUO BALLS 250g,1.06,konzum
47093,ŠAMPON GLISS AQUA REVIVE 250ml,3.0,konzum
33949,SLAD KING MAJESTIC 100ml LEDO,2.79,konzum
26043,PEDIGREE DENTASTIX CH CHUNX MINI 68g,1.79,konzum
1736,BOCA STAINLESS STEEL POLLEO 739ml,14.99,konzum
6144,DET ARIEL COLOR 24 TAB,10.0,konzum
19588,MAHUNA ŽUTA 400g LEDO,1.6,konzum
40458,VAFL NAPOLITANKA KAKAO MLIJEKO 700g,2.39,konzum
19687,MAJONEZA WASABI 85g ZVIJEZDA,1.15,konzum
40489,VALJUŠCI MINUTE 500g,1.55,konzum
23189,NEG. PIĆE MEDONJA JAGODA 0.2L,0.43,konzum
1521,BLANC ZA IZBJELJ KOSE ANNYER 40g,3.19,konzum
34001,SLAD MOCHI PISTAC LITTLE MOONS 6x32g,6.99,konzum
38805,TRAKE VEET DEPIL NOGE 12/1,4.0,konzum
22471,NAMAZ LINO LADA GOLD  CREAMY 350g PODRAVKA,3.99,konzum
47091,ŠAMPON GLISS 400ml+REG MIRAC 200ml,5.99,konzum
14401,KAŠA JEČMENA K PLUS 750g,0.85,konzum
47247,ŠLAG SPRAY 250ML MEGLE ADRIA,3.19,konzum
47246,ŠLAG SPRAY 250ML DUKAT,3.49,konzum
36298,SV PODLAKTICA SK ,3.15,konzum
