naziv;¹ifra;marka;neto kolièina;jedinica mjere;MPC;cijena za jedinicu mjere;MPC za vrijeme posebnog oblika prodaje;Najni¾a cijena u posljednjih 30 dana;datum sidrene cijene;sidrena cijena na 2.5.2025.;barkod;kategorija proizvoda
SLAD.DESERT JOG.-AMARENA 150 g;377857;;0.1500;kg;5.99;39.93;;;02.05.2025;5.99;9120070100422;Hrana
DEO SPR.STR 8 ORIGINAL  150 ml;377874;Str8;0.1500;L;;18.60;2.79;3.50;02.05.2025;3.50;5201314153542;Kozmetika
DEO SPR.STR 8 RED CODE  150 ml;377875;Str8;0.1500;l;;18.60;2.79;3.50;02.05.2025;3.50;5201314153573;Kozmetika
DEO SPR.STR 8 GAME   150 ml;377876;Str8;0.1500;l;;18.60;2.79;3.50;02.05.2025;3.50;5201314170457;Kozmetika
GEL TU©.STR8 RED CODE 250 ml;377877;Str8;0.2500;l;;6.68;1.67;2.09;02.05.2025;2.09;5201314149903;Kozmetika
GEL TU©.STR8 RED GAME  250 ml;377878;Str8;0.2500;l;;6.68;1.67;2.09;02.05.2025;2.09;5201314170372;Kozmetika
GEL TU©.STR8 ORIGINAL  250 ml;377879;Str8;0.2500;l;;6.68;1.67;2.09;02.05.2025;2.09;5201314149880;Kozmetika
LOSION POS.STR8 BRIJAN.R 50 ml;377880;Str8;0.0500;l;;103.80;5.19;6.49;02.05.2025;6.49;5201314149811;Kozmetika
LOSION POS.STR8 BRIJAN.G 50 ml;377881;Str8;0.0500;l;;103.80;5.19;6.49;02.05.2025;6.49;5201314170358;Kozmetika
LOSION POS.STR8 BRIJAN.O 50 ml;377882;Str8;0.0500;l;;103.80;5.19;6.49;02.05.2025;6.49;5201314149767;Kozmetika
GEL AGRADO POSLJE SUN.A 200 ml;377883;AGRADO;0.2000;L;4.99;24.95;;;02.05.2025;4.99;8433295062248;Kozmetika
SP.DJ.AGRADO SU. SPF 50 200 ml;377884;AGRADO;0.2000;L;19.59;97.95;;;02.05.2025;19.59;8433295062231;Kozmetika
LOS.AGRADO DJEÈJ.SPF 50 250 ml;377885;AGRADO;0.2500;L;19.50;78.00;;;02.05.2025;19.50;8433295073121;Kozmetika
KREM.AGRADO SUN. SPF30 250 ml;377896;AGRADO;0.2500;l;13.99;55.96;;;02.05.2025;13.99;8433295065560;Kozmetika
KREM.AGRADO SUN. SPF50 250 ml;377897;AGRADO;0.2500;l;16.99;67.96;;;02.05.2025;16.99;8433295087104;Kozmetika
KREM.AGRADO SUN. SPF50 100 ml;377898;AGRADO;0.1000;l;7.99;79.90;;;02.05.2025;7.99;8433295083328;Kozmetika
