"NAZIV_PROIZVODA";"ŠIFRA_PROIZVODA";"MARKA_PROIZVODA";NETO_KOLIČINA;"JEDINICA_MJERE";MALOPROD.CIJENA(EUR);CIJENA_ZA_JEDINICU_MJERE;MPC_POSEB.OBLIK_PROD;POSEB.OBLIK_PROD__ZA_JEDINICU_MJERE;NAJNIŽA_MPC_U_30DANA;SIDRENA_CIJENA;"BARKOD";"KATEGORIJA_PROIZVODA"
"KOCKE ZA POTPALU VATRE 48kom 273g";"001902601";"EUROGARDEN";1;"PZ";1.19;1.19;0;0;0;1.19;"8018608000164";"INSEKTICIDI/SVIJEĆE/OSVJEŽIVAČ"
"KOCKE ZA POTPALU VATRE 48kom 273g";"001902601";"EUROGARDEN";1;"PZ";1.19;1.19;0;0;0;1.19;"8017596069610";"INSEKTICIDI/SVIJEĆE/OSVJEŽIVAČ"
"SIR SKUTA 250g";"001952101";"LAND";0.25;"KG";1.15;4.6;0.79;3.16;1.15;1.15;"8002795001004";"MLIJEČNI PROIZ. SVJEŽI - EGAL."
"SIR SKUTA 250g";"001952101";"LAND";0.25;"KG";1.15;4.6;0.79;3.16;1.15;1.15;"8017596006769";"MLIJEČNI PROIZ. SVJEŽI - EGAL."
"KAKAO INSTANT NAPITAK 800g";"001955401";"DOLCIANDO";0.8;"KG";3.99;4.99;0;0;0;3.99;"8004990181000";"KAKAO/DOD. ZA KOLAČE/PREHRANU"
"KAKAO INSTANT NAPITAK 800g";"001955401";"DOLCIANDO";0.8;"KG";3.99;4.99;0;0;0;3.99;"8017596012685";"KAKAO/DOD. ZA KOLAČE/PREHRANU"
"BOMBONI S PUNJENJEM OD MENTE 400g";"002021401";"DOLCIANDO";0.4;"KG";1.49;3.73;0;0;0;1.49;"8001205207203";"SLATKIŠI I BOMBONI"
"BOMBONI S PUNJENJEM OD MENTE 400g";"002021401";"DOLCIANDO";0.4;"KG";1.49;3.73;0;0;0;1.49;"8017596012609";"SLATKIŠI I BOMBONI"
"BOMBONI S PUNJENJEM OD MENTE 400g";"002021401";"DOLCIANDO";0.4;"KG";1.49;3.73;0;0;0;1.49;"8017596066572";"SLATKIŠI I BOMBONI"
"JOGURT OBIČNI 0,1%m.m. 150g";"002222801";"LAND";0.15;"KG";0.35;2.33;0.29;1.93;0.35;0.35;"8017596000385";"JOGURTI I DESERTI"
"JOGURT OBIČNI 0,1%m.m. 150g";"002222801";"LAND";0.15;"KG";0.35;2.33;0.29;1.93;0.35;0.35;"8017596005755";"JOGURTI I DESERTI"
"JOGURT OBIČNI 0,1%m.m. 150g";"002222801";"LAND";0.15;"KG";0.35;2.33;0.29;1.93;0.35;0.35;"80761259";"JOGURTI I DESERTI"
"GLJIVE U SUNC.ULJU 285g";"002388701";"DELIZIE DAL SOLE";0.285;"KG";2.19;7.68;0;0;0;2.19;"8017596000262";"KONZER.PROIZVODI U ULJU/OCTU"
"JOGURT OBIČNI 500g";"002961101";"LAND";0.5;"KG";1.19;2.38;0;0;0;1.19;"8017596000439";"JOGURTI I DESERTI"
"JOGURT OBIČNI 500g";"002961101";"LAND";0.5;"KG";1.19;2.38;0;0;0;1.19;"8017596005748";"JOGURTI I DESERTI"
"TUNA U MASLINOVOM ULJU 80g";"003112001";"ATHENA";0.08;"KG";0.99;12.38;0;0;0;0.99;"8005850112424";"RIBLJE KONZERVE"
"TUNA U MASLINOVOM ULJU 80g";"003112001";"ATHENA";0.08;"KG";0.99;12.38;0;0;0;0.99;"8005850113056";"RIBLJE KONZERVE"
"TUNA U MASLINOVOM ULJU 80g";"003112001";"ATHENA";0.08;"KG";0.99;12.38;0;0;0;0.99;"8017596004208";"RIBLJE KONZERVE"
"TUNA U VLASTITOM SOKU 160g/112g";"003113801";"ATHENA";0.112;"KG";1.79;15.98;0;0;0;1.79;"8005850112844";"RIBLJE KONZERVE"
"TUNA U VLASTITOM SOKU 160g/112g";"003113801";"ATHENA";0.112;"KG";1.79;15.98;0;0;0;1.79;"8017596004239";"RIBLJE KONZERVE"
"PANCETA DIMLJENA KOCKICE 200g";"003132801";"LA BOTTEGA DEL GUSTO";0.2;"KG";2.55;12.75;0;0;0;2.55;"3280596100200";"SALAME SVJEŽE - EGALIZIRANE"
"PANCETA DIMLJENA KOCKICE 200g";"003132801";"LA BOTTEGA DEL GUSTO";0.2;"KG";2.55;12.75;0;0;0;2.55;"8017596006851";"SALAME SVJEŽE - EGALIZIRANE"
"TUNA U BILJNOM ULJU 160g";"003142701";"ATHENA";0.16;"KG";1.79;11.19;0;0;0;1.79;"8005850112035";"RIBLJE KONZERVE"
"TUNA U BILJNOM ULJU 160g";"003142701";"ATHENA";0.16;"KG";1.79;11.19;0;0;0;1.79;"8005850112769";"RIBLJE KONZERVE"
"TUNA U BILJNOM ULJU 160g";"003142701";"ATHENA";0.16;"KG";1.79;11.19;0;0;0;1.79;"8017596007834";"RIBLJE KONZERVE"
"OCAT BALZAMIČNI IZ MODENE 500ml";"003212801";"ANTICA ACETAIA";0.5;"LT";1.89;3.78;0;0;0;1.89;"80102878";"OCAT"
"OCAT BALZAMIČNI IZ MODENE 500ml";"003212801";"ANTICA ACETAIA";0.5;"LT";1.89;3.78;0;0;0;1.89;"80102915";"OCAT"
"OCAT BALZAMIČNI IZ MODENE 500ml";"003212801";"ANTICA ACETAIA";0.5;"LT";1.89;3.78;0;0;0;1.89;"8017596014986";"OCAT"
"GRAŠAK FINI 1kg";"003238301";"DELIZIE DAL SOLE";1;"KG";2.19;2.19;0;0;0;2.19;"8017596001511";"ZAMRZNUTO POVRĆE"
"FILETI OSLIĆA 1kg";"003272201";"ATHENA";1;"KG";9.95;9.95;0;0;0;9.95;"8017596001092";"ZAMRZNUTA RIBA/MORSKI PLODOVI"
"FILETI OSLIĆA 1kg";"003272201";"ATHENA";1;"KG";9.95;9.95;0;0;0;9.95;"4000933002566";"ZAMRZNUTA RIBA/MORSKI PLODOVI"
"FILETI OSLIĆA 1kg";"003272201";"ATHENA";1;"KG";9.95;9.95;0;0;0;9.95;"5905009022303";"ZAMRZNUTA RIBA/MORSKI PLODOVI"
"FILETI OSLIĆA 1kg";"003272201";"ATHENA";1;"KG";9.95;9.95;0;0;0;9.95;"8007466063121";"ZAMRZNUTA RIBA/MORSKI PLODOVI"
"FILETI OSLIĆA 1kg";"003272201";"ATHENA";1;"KG";9.95;9.95;0;0;0;9.95;"8033389262006";"ZAMRZNUTA RIBA/MORSKI PLODOVI"
"ŠPINAT KOCKE 600g";"003289601";"DELIZIE DAL SOLE";0.6;"KG";1.69;2.82;0;0;0;1.69;"8017596001559";"ZAMRZNUTO POVRĆE"
