"NAZIV_PROIZVODA";"ŠIFRA_PROIZVODA";"MARKA_PROIZVODA";NETO_KOLIČINA;"JEDINICA_MJERE";MALOPROD.CIJENA(EUR);CIJENA_ZA_JEDINICU_MJERE;MPC_POSEB.OBLIK_PROD;POSEB.OBLIK_PROD__ZA_JEDINICU_MJERE;NAJNIŽA_MPC_U_30DANA;SIDRENA_CIJENA;"BARKOD";"KATEGORIJA_PROIZVODA"
"ČAJ CRNI EARL GREY 25F 50g";"013721901";"LESTER HOUSE";0.05;"KG";1.19;23.8;0;0;0;1.19;"8017596073426";"KAVA/ČAJEVI/DRUGO"
"*GRANA PADANO 16 MJESECI";"013724901";"NO BRAND";1;"KG";28.9;28.9;0;0;0;28.9;"";"DELIKATESA - SIREVI"
"*SIR PIAVE DOP";"013731501";"NO BRAND";1;"KG";21.9;21.9;0;0;0;21.9;"";"DELIKATESA - SIREVI"
"ŠEĆER SMEĐI U VREĆICAMA 500g";"013758701";"DOLCIANDO";0.5;"KG";1.19;2.38;0;0;0;1.19;"8017596074416";"ŠEĆER"
"ŠEĆER SMEĐI U VREĆICAMA 500g";"013758701";"DOLCIANDO";0.5;"KG";1.19;2.38;0;0;0;1.19;"8058450630157";"ŠEĆER"
"MAHUNARKE I ŽITARICE MIX 500g";"013760801";"DELIZIE DAL SOLE";0.5;"KG";1.49;2.98;0;0;0;1.49;"8017596000590";"POVRĆE KONZERVIRANO/SUHO"
"JEČAM SUHI OLJUŠTENI 500g";"013760901";"DELIZIE DAL SOLE";0.5;"KG";0.89;1.78;0;0;0;0.89;"8017596002648";"POVRĆE KONZERVIRANO/SUHO"
".VLAŽNE MARAM. MICELARNA V. 25kom";"013761601";"FIOR DI MAGNOLIA";1;"PZ";1;1;0;0;0;1;"8011502007895";"ULOŠCI/PELENE/VATE"
".VLAŽNE MARAM. MICELARNA V. 25kom";"013761601";"FIOR DI MAGNOLIA";1;"PZ";1;1;0;0;0;1;"8017596078247";"ULOŠCI/PELENE/VATE"
".TOA.PAP.MIRISNI DEKO.3 S,240L,12R";"013763801";"SOFT DREAM";1;"PZ";5.99;5.99;0;0;0;5.99;"8005495467972";"PAPIRNATI PROIZVODI"
".TOA.PAP.MIRISNI DEKO.3 S,240L,12R";"013763801";"SOFT DREAM";1;"PZ";5.99;5.99;0;0;0;5.99;"8017596077738";"PAPIRNATI PROIZVODI"
"GEL ZA TUŠ.MUŠKI MEN/GING 300ml";"013767701";"NISSHE";0.3;"LT";0.99;3.3;0;0;0;0.99;"8017596074058";"KOZMETIKA/NJEGA TIJELA I LICA"
"GEL ZA TUŠ.MUŠKI MEN/GING 300ml";"013767701";"NISSHE";0.3;"LT";0.99;3.3;0;0;0;0.99;"8017596074065";"KOZMETIKA/NJEGA TIJELA I LICA"
"RAŽENI MIJEŠANI KRUH 500g";"013784601";"ALPENSPITZ";0.5;"KG";1.29;2.58;0;0;0;1.29;"8017596122186";"PEKARSKI PROIZVODI"
"RAŽENI MIJEŠANI KRUH 500g";"013784601";"ALPENSPITZ";0.5;"KG";1.29;2.58;0;0;0;1.29;"8017596074751";"PEKARSKI PROIZVODI"
"PIZZA MARGH. BEZ GLUT. I LAKT. 300g";"013793201";"AMO ESSERE SENZA GLUTINE";0.3;"KG";3.49;11.63;2.69;8.97;3.49;3.49;"8017596041685";"ZAMRZNUTA POLUGOTOVA JELA"
"PIZZA MARGH. BEZ GLUT. I LAKT. 300g";"013793201";"AMO ESSERE SENZA GLUTINE";0.3;"KG";3.49;11.63;2.69;8.97;3.49;3.49;"8017596041715";"ZAMRZNUTA POLUGOTOVA JELA"
"GRAH BORLOTTI ŠARENI 500g";"013796901";"DELIZIE DAL SOLE";0.5;"KG";1.59;3.18;0;0;0;1.59;"8017596000620";"POVRĆE KONZERVIRANO/SUHO"
"LEĆA ZELENA 500g";"013797101";"DELIZIE DAL SOLE";0.5;"KG";1.19;2.38;0;0;0;1.19;"8017596000576";"POVRĆE KONZERVIRANO/SUHO"
"MASLAC 500g";"013804401";"LAND";0.5;"KG";5.29;10.58;4.19;8.38;5.29;5.29;"8017596075079";"MLIJEČNI PROIZ. SVJEŽI - EGAL."
".ZAČIN MASLINOVO ULJE I FEF. 250ml";"013815501";"IL BRACIERE";0.25;"LT";3.79;15.16;0;0;0;3.79;"8017596108104";"ULJE"
"SVJEŽA TJESTENINA STROZZAPRETI 500g";"013817001";"TRE MULINI";0.5;"KG";1.59;3.18;0;0;0;1.59;"8017596073617";"TJESTENINA SVJEŽA - PUNJENA"
"SVJEŽA TJESTENINA STROZZAPRETI 500g";"013817001";"TRE MULINI";0.5;"KG";1.59;3.18;0;0;0;1.59;"8017596118288";"TJESTENINA SVJEŽA - PUNJENA"
"PILEĆI FILE OD PRSA CCA 2 KG GASTRO";"013820801";"NO BRAND";1;"KG";7.56;7.56;0;0;0;7.56;"";"MESO PERADI"
"VERMOUTH BIJELI 14,5% 1000ml";"013823201";"NO BRAND";1;"LT";4.52;4.52;0;0;0;4.52;"8004565064110";"SLATKI LIKERI/APERITIVI"
"PILEĆA KRILA ZADNJI DIO  GASTRO";"013825901";"LA COLLINA DELLE BONTA'";1;"KG";5.31;5.31;0;0;0;5.31;"";"MESO PERADI"
"PILEĆA KRILA SREDNJI  DIO  GASTRO";"013826001";"LA COLLINA DELLE BONTA'";1;"KG";3.56;3.56;0;0;0;3.56;"";"MESO PERADI"
"SVINJSKA KARE REBRA LOIN RIBS";"013839301";"NO BRAND";1;"KG";5.05;5.05;0;0;0;5.05;"";"MESO SVINJSKO"
"MIX SUHO VOĆE FITNESS 150g";"013843701";"MISTER SIBAMBA";0.15;"KG";1.86;12.4;0;0;0;1.86;"8017596071729";"VOĆE SUHO/ORAŠASTO"
"SOK JABUKA 100% 1l";"013843801";"PUERTOSOL";1;"LT";1.39;1.39;0;0;0;1.39;"8017596070432";"BEZALKOHOLNA PIĆA"
"SL.SANDW.SLAD.BEZ.GL.LAK 6KOM 300g";"013853701";"AMO ESSERE SENZA GLUTINE";0.3;"KG";3.49;11.63;2.59;8.63;3.49;3.49;"8017596075185";"SLADOLEDI I DESERTI"
"SL.KORN.ŠLAG B.GLUT.LAK. 4KOM 300g";"013853702";"AMO ESSERE SENZA GLUTINE";0.3;"KG";3.49;11.63;2.59;8.63;3.49;3.49;"8017596075192";"SLADOLEDI I DESERTI"
"PILEĆA PRSA PEČENA 110g";"013854801";"LA BOTTEGA DEL GUSTO";0.11;"KG";1.69;15.36;1.19;10.82;1.69;1.69;"8017596075246";"SALAME SVJEŽE - EGALIZIRANE"
"SL.ŠTAP.B.C.BI.ČOK.S BAD.3KOM 255g";"013857501";"DOLCIANDO";0.255;"KG";2.25;8.82;1.69;6.63;2.25;2.25;"8017596075253";"SLADOLEDI I DESERTI"
"DATULJE BEZ KOŠTICA 200g";"013860001";"NO BRAND";0.2;"KG";1.29;6.45;0;0;0;1.29;"8009693001013";"VOĆE SUHO"
"DATULJE BEZ KOŠTICA 200g";"013860001";"NO BRAND";0.2;"KG";1.29;6.45;0;0;0;1.29;"6194001130195";"VOĆE SUHO"
"DATULJE BEZ KOŠTICA 200g";"013860001";"NO BRAND";0.2;"KG";1.29;6.45;0;0;0;1.29;"8001735023885";"VOĆE SUHO"
"DATULJE BEZ KOŠTICA 200g";"013860001";"NO BRAND";0.2;"KG";1.29;6.45;0;0;0;1.29;"8005324021115";"VOĆE SUHO"
"DATULJE BEZ KOŠTICA 200g";"013860001";"NO BRAND";0.2;"KG";1.29;6.45;0;0;0;1.29;"8009693007084";"VOĆE SUHO"
"DATULJE BEZ KOŠTICA 200g";"013860001";"NO BRAND";0.2;"KG";1.29;6.45;0;0;0;1.29;"8005912016172";"VOĆE SUHO"
"DATULJE BEZ KOŠTICA 200g";"013860001";"NO BRAND";0.2;"KG";1.29;6.45;0;0;0;1.29;"8059916231581";"VOĆE SUHO"
"KREKERI RAŽENI SA SEZAMOM 250g";"013862001";"TRE MULINI";0.25;"KG";1.29;5.16;0;0;0;1.29;"4009176041011";"PEKARSKI PROIZVODI"
"KREKERI RAŽENI SA SEZAMOM 250g";"013862001";"TRE MULINI";0.25;"KG";1.29;5.16;0;0;0;1.29;"8017596107473";"PEKARSKI PROIZVODI"
"SLAD.TRONCHETTO ČOK.I VANIL.320g";"013863201";"DOLCIANDO";0.32;"KG";2.29;7.16;0;0;0;2.29;"8017596043863";"SLADOLEDI I DESERTI"
"SLADOLED TRONCHETTO VANILIJA 320g";"013863202";"DOLCIANDO";0.32;"KG";2.29;7.16;0;0;0;2.29;"8017596043856";"SLADOLEDI I DESERTI"
"SL.SANDW. OKRUG. BISCOC.6KOM 288g";"013864401";"DOLCIANDO";0.288;"KG";2.69;9.34;0;0;0;2.69;"8004362002490";"SLADOLEDI I DESERTI"
"SL.SANDW. OKRUG. BISCOC.6KOM 288g";"013864401";"DOLCIANDO";0.288;"KG";2.69;9.34;0;0;0;2.69;"8017596044112";"SLADOLEDI I DESERTI"
".SREDSTVO ZA IZBJELJIVANJE BLAGO 4l";"013869501";"DEXAL";4;"LT";2.49;0.62;0;0;0;2.49;"8017596077646";"SRED. ZA PRANJE RUBLJA/POSUĐA"
".PAPIRNATI RUČNIK 3S, 100L, 1R";"013875701";"IL BRACIERE";1;"PZ";1.59;1.59;0;0;0;1.59;"8007541013102";"PAPIRNATI PROIZVODI"
".PAPIRNATI RUČNIK 3S, 100L, 1R";"013875701";"IL BRACIERE";1;"PZ";1.59;1.59;0;0;0;1.59;"8017596107114";"PAPIRNATI PROIZVODI"
"SL.SANDW MAXI ČOKO.STRA.4KOM 400g";"013885201";"DOLCIANDO";0.4;"KG";3.29;8.23;0;0;0;3.29;"8005840095034";"SLADOLEDI I DESERTI"
"SL.SANDW MAXI ČOKO.STRA.4KOM 400g";"013885201";"DOLCIANDO";0.4;"KG";3.29;8.23;0;0;0;3.29;"8017596044129";"SLADOLEDI I DESERTI"
"FILETI INĆUNA U BILJNOM ULJU 160g";"013887301";"ONDINA";0.16;"KG";3.49;21.81;0;0;0;3.49;"24100021";"RIBLJE KONZERVE"
"SIR TOPLJENI TROKUTIĆI 16kom 280g";"013917601";"LAND";0.28;"KG";2.89;10.32;0;0;0;2.89;"8017596014191";"MLIJEČNI PROIZVODI UHT - JAJA"
"SAPUN NEUTRALNI 4X125g";"013919701";"NEAR YOUR XXX";0.5;"KG";2.29;4.58;0;0;0;2.29;"8017596075734";"KOZMETIKA/NJEGA TIJELA I LICA"
"SAPUN NEUTRALNI 4X125g";"013919701";"NEAR YOUR XXX";0.5;"KG";2.29;4.58;0;0;0;2.29;"8017596075741";"KOZMETIKA/NJEGA TIJELA I LICA"
"MLIJEKO ČOKOLADNO 3X200ml";"013947901";"LAND";0.6;"LT";1.45;2.42;0.99;1.65;1.45;1.45;"8017596074560";"MLIJEČNI PROIZVODI UHT - JAJA"
"SAPUN MIRISNI VIŠE VRSTA 125g";"013965601";"NEAR YOUR XXX";0.125;"KG";0.75;6;0;0;0;0.75;"8017596019974";"KOZMETIKA/NJEGA TIJELA I LICA"
"SAPUN MIRISNI VIŠE VRSTA 125g";"013965601";"NEAR YOUR XXX";0.125;"KG";0.75;6;0;0;0;0.75;"8017596019950";"KOZMETIKA/NJEGA TIJELA I LICA"
"SAPUN MIRISNI VIŠE VRSTA 125g";"013965601";"NEAR YOUR XXX";0.125;"KG";0.75;6;0;0;0;0.75;"8017596075765";"KOZMETIKA/NJEGA TIJELA I LICA"
"SAPUN MIRISNI VIŠE VRSTA 125g";"013965601";"NEAR YOUR XXX";0.125;"KG";0.75;6;0;0;0;0.75;"8017596075758";"KOZMETIKA/NJEGA TIJELA I LICA"
"ZASLAĐIVAČ STEVIA U VREĆICAMA 40g";"013985201";"DOLCIANDO";0.04;"KG";1.06;26.5;0;0;0;1.06;"8017596075338";"ŠEĆER"
"ZASLAĐIVAČ 300 TABLETA 15g";"013985401";"DOLCIANDO";0.015;"KG";1.09;72.67;0;0;0;1.09;"8017596075345";"ŠEĆER"
"SAPUN MARSIGLIA VIŠE VRSTA 150g";"013995101";"NEAR YOUR XXX";0.15;"KG";0.89;5.93;0;0;0;0.89;"8017596050571";"KOZMETIKA/NJEGA TIJELA I LICA"
"SAPUN MARSIGLIA VIŠE VRSTA 150g";"013995101";"NEAR YOUR XXX";0.15;"KG";0.89;5.93;0;0;0;0.89;"8017596054586";"KOZMETIKA/NJEGA TIJELA I LICA"
"SAPUN MARSIGLIA VIŠE VRSTA 150g";"013995101";"NEAR YOUR XXX";0.15;"KG";0.89;5.93;0;0;0;0.89;"8017596054593";"KOZMETIKA/NJEGA TIJELA I LICA"
"SAPUN MARSIGLIA VIŠE VRSTA 150g";"013995101";"NEAR YOUR XXX";0.15;"KG";0.89;5.93;0;0;0;0.89;"8017596054609";"KOZMETIKA/NJEGA TIJELA I LICA"
"TOALETNI PAPIR MEKAN 2S,170L,20R";"014025101";"SOFT DREAM";1;"PZ";4.99;4.99;0;0;0;4.99;"8017596074782";"PAPIRNATI PROIZVODI"
"STICK ZA PSE RAZL.OKUSI 10x10g 100g";"014026701";"RADAMES";0.1;"KG";1.29;12.9;0;0;0;1.29;"8017596075789";"HRANA ZA KUĆNE LJUBIMCE"
"STICK ZA PSE RAZL.OKUSI 10x10g 100g";"014026701";"RADAMES";0.1;"KG";1.29;12.9;0;0;0;1.29;"8017596075772";"HRANA ZA KUĆNE LJUBIMCE"
"KRUH BEZ GLUTENA 300g";"014028401";"AMO ESSERE SENZA GLUTINE";0.3;"KG";1.99;6.63;1.69;5.63;1.99;1.99;"8017596075543";"PEKARSKI PROIZVODI"
"GAZIRANO PIĆE TONIC LIMUN BLUES 1l";"014058601";"BLUES";1;"LT";0.89;0.89;0;0;0;0.89;"8017596071323";"BEZALKOHOLNA PIĆA"
"TOALETNI PAPIR FIORITA 4S,150L,6R";"014060601";"SOFT DREAM";1;"PZ";2.09;2.09;0;0;0;2.09;"8017596074775";"PAPIRNATI PROIZVODI"
"SAPUN RUČNO PRANJ.RUB.MARSIG.2x250g";"014083301";"DEXAL";0.5;"KG";1.69;3.38;0;0;0;1.69;"8017596011961";"SRED. ZA PRANJE RUBLJA/POSUĐA"
"RIZA EKSPANDIRANA S VITAMINIMA 1kg";"014085001";"RADAMES";1;"KG";3.19;3.19;0;0;0;3.19;"8017596010421";"HRANA ZA KUĆNE LJUBIMCE"
"PINJOLI JEZGRA 40g SIBAMBA";"014086401";"MISTER SIBAMBA";0.04;"KG";3.49;87.25;0;0;0;3.49;"8017596002723";"VOĆE SUHO/ORAŠASTO"
"SRED. ZA ČIŠĆENJE STAKLA SPREJ 1l";"014106101";"DEXAL";1;"LT";1.79;1.79;0;0;0;1.79;"8017596075017";"SREDSTVA ZA ČIŠĆENJE"
"ULJE ZA TIJELO 200ml";"014114301";"FIOR DI MAGNOLIA";0.2;"LT";2.99;14.95;0;0;0;2.99;"8017596076151";"KOZMETIKA/NJEGA TIJELA I LICA"
"KIKIRIKI PEČENI U LJUSCI 750g";"014116401";"MISTER SIBAMBA";0.75;"KG";3.39;4.52;3.19;4.25;3.39;3.39;"8017596063922";"VOĆE SUHO/ORAŠASTO"
"KIKIRIKI PEČENI U LJUSCI 750g";"014116401";"MISTER SIBAMBA";0.75;"KG";3.39;4.52;3.19;4.25;3.39;3.39;"8033247636475";"VOĆE SUHO/ORAŠASTO"
"KIKIRIKI PEČENI U LJUSCI 750g";"014116401";"MISTER SIBAMBA";0.75;"KG";3.39;4.52;3.19;4.25;3.39;3.39;"8057737403026";"VOĆE SUHO/ORAŠASTO"
"MASLAC ZA TIJELO 250ml";"014129601";"FIOR DI MAGNOLIA";0.25;"LT";2.99;11.96;0;0;0;2.99;"8017596076168";"KOZMETIKA/NJEGA TIJELA I LICA"
"SIR MASCARPONE 500g";"014138001";"PASCOLI ITALIANI";0.5;"KG";4.49;8.98;0;0;0;4.49;"8017596077608";"MLIJEČNI PROIZ. SVJEŽI - EGAL."
"SRED. ODMAŠĆIVANJE REFIL MARSIG. 1l";"014150601";"DEXAL";1;"LT";1.39;1.39;0;0;0;1.39;"8017596075949";"SREDSTVA ZA ČIŠĆENJE"
".KROŠTULE SA ŠEĆEROM 250g";"014151201";"DOLCIANDO";0.25;"KG";1.99;7.96;1.49;5.96;1.99;1.99;"8017596112057";"PROIZVODI BOŽIĆ/USKRS"
"ODMAŠĆIVAČ SPREJ MARSIGLIA 1l";"014153901";"DEXAL";1;"LT";1.99;1.99;0;0;0;1.99;"8017596075932";"SREDSTVA ZA ČIŠĆENJE"
"GRAŠAK I MRKVA 3X450g/390g";"014165001";"DELIZIE DAL SOLE";0.39;"KG";2.29;5.87;0;0;0;2.29;"8017596076519";"POVRĆE KONZERVIRANO/SUHO"
"*KORE OD SIRA RFS";"014168901";"NO BRAND";1;"KG";6.62;6.62;0;0;0;6.62;"";"DELIKATESA - SIREVI"
"OSVJEŽIVAČ PROSTORA SPREJ V.V.400ml";"014186401";"SISTEMA CASA";0.4;"LT";1.59;3.98;0;0;0;1.59;"8017596076502";"INSEKTICIDI/SVIJEĆE/OSVJEŽIVAČ"
"OSVJEŽIVAČ PROSTORA SPREJ V.V.400ml";"014186401";"SISTEMA CASA";0.4;"LT";1.59;3.98;0;0;0;1.59;"8017596076472";"INSEKTICIDI/SVIJEĆE/OSVJEŽIVAČ"
"OSVJEŽIVAČ PROSTORA SPREJ V.V.400ml";"014186401";"SISTEMA CASA";0.4;"LT";1.59;3.98;0;0;0;1.59;"8017596076496";"INSEKTICIDI/SVIJEĆE/OSVJEŽIVAČ"
"OSVJEŽIVAČ PROSTORA SPREJ V.V.400ml";"014186401";"SISTEMA CASA";0.4;"LT";1.59;3.98;0;0;0;1.59;"8017596076489";"INSEKTICIDI/SVIJEĆE/OSVJEŽIVAČ"
"LISNATI PRUTIĆI GLAZIRANI 200g";"014187401";"DOLCIANDO";0.2;"KG";0.99;4.95;0;0;0;0.99;"8017596012593";"KEKSI/VAFLI/SNACKS"
"KROŠTULE SA ŠEĆEROM 250g";"014206501";"DOLCIANDO";0.25;"KG";1.99;7.96;1.49;5.96;1.99;1.99;"8017596112149";"PROIZVODI BOŽIĆ/USKRS"
"SIR TOPLJENI LISTIĆI BEZ LAKTO.200g";"014220001";"AMO ESSERE SENZA LATTOSIO";0.2;"KG";1.99;9.95;1.39;6.95;1.99;1.99;"8017596077783";"MLIJEČNI PROIZ. SVJEŽI - EGAL."
"SIR TOPLJENI LISTIĆI BEZ LAKTO.200g";"014220001";"AMO ESSERE SENZA LATTOSIO";0.2;"KG";1.99;9.95;1.39;6.95;1.99;1.99;"8017596062796";"MLIJEČNI PROIZ. SVJEŽI - EGAL."
"GRANULE ZA ŠUMEĆI NAPITAK 250g";"014246001";"BLUES";0.25;"KG";1.99;7.96;0;0;0;1.99;"8017596008985";"KAKAO/DOD. ZA KOLAČE/PREHRANU"
"ŠAMPINJONI REZANI 390g/230g";"014256701";"DELIZIE DAL SOLE";0.23;"KG";1.19;5.17;0;0;0;1.29;"8017596053015";"KONZER.PROIZVODI U ULJU/OCTU"
"BISKVIT TORTINI SA ML.KREMOM 240g";"014291001";"DOLCIANDO";0.24;"KG";1.59;6.63;0;0;0;1.59;"8017596078971";"BISKVIT PROIZVODI/KROASAN"
"KEKS CANTUCCINI S BADEMOM 300g";"014295601";"AMO ESSERE ECCELLENTE";0.3;"KG";1.99;6.63;0;0;0;1.99;"8017596013729";"KEKSI/VAFLI/SNACKS"
"FLIPS KUKURUZNI KORNETI 100g";"014299501";"MAMBO KIDS";0.1;"KG";0.99;9.9;0;0;0;0.99;"8017596070449";"KEKSI/VAFLI/SNACKS"
"ČIPS ŠTAPIĆI OD KRUMPIRA 175g";"014299701";"MAMBO KIDS";0.175;"KG";1.19;6.8;0;0;0;1.19;"8017596070456";"KEKSI/VAFLI/SNACKS"
"MIKS SJEMENJA ZA STALAK";"014299901";"NO BRAND";1;"PZ";401.49;401.49;0;0;0;401.49;"";"SJEME"
"MRKVA";"014300101";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553801207";"SJEME"
"MRKVA";"014300201";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553801269";"SJEME"
"JOGURT BEZ LAKTOZE 2X125g";"014300801";"PASCOLI ITALIANI";0.25;"KG";0.79;3.16;0.59;2.36;0.79;0.79;"8017596078889";"JOGURTI I DESERTI"
"JOGURT KAVA BEZ LAKTOZE 2X125g";"014300802";"AMO ESSERE SENZA LATTOSIO";0.25;"KG";0.79;3.16;0.59;2.36;0.79;0.79;"8017596078902";"JOGURTI I DESERTI"
"SALATA PUTERICA";"014301001";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553801375";"SJEME"
"SALATA PUTERICA";"014301101";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553801382";"SJEME"
"SALATA QUATTRO STAGIONI";"014301201";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553814412";"SJEME"
"SALATA REGINA DEI GHIACCI";"014301301";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553801528";"SJEME"
"SALATA PUTERICA ROMANA";"014301401";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553816119";"SJEME"
"MICELARNA VODICA ECO 200ml";"014301501";"FIOR DI MAGNOLIA";0.2;"LT";1.99;9.95;0;0;0;1.99;"8017596077820";"KOZMETIKA/NJEGA TIJELA I LICA"
"STALAK ZA SJEMENJE PRAZNI";"014301801";"NO BRAND";1;"PZ";0.02;0.02;0;0;0;0.02;"";"SJEME"
"SALATA PUTERICA DA TAGLIO FOG.LISCI";"014302101";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553801665";"SJEME"
"SALATA PUTERICA  BIONDA RICCIOLINA";"014302201";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553801672";"SJEME"
"RUKOLA";"014302301";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553801689";"SJEME"
"RUKOLA";"014302401";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553801696";"SJEME"
"SALATA ENDIVIJA SCAROLA";"014302501";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553801702";"SJEME"
"MATOVILAC";"014302601";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553801764";"SJEME"
"MATOVILAC";"014302701";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553801795";"SJEME"
"RADIČ";"014302801";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553818014";"SJEME"
"KREMA ZA RUKE BIO 100ml";"014302901";"FIOR DI MAGNOLIA";0.1;"LT";1.79;17.9;0;0;0;1.79;"8017596077813";"KOZMETIKA/NJEGA TIJELA I LICA"
"RADIČ";"014303001";"NO BRAND";1;"PZ";0.66;0.66;0;0;0;0.66;"8001553801818";"SJEME"
"RADIČ";"014303101";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553818328";"SJEME"
"RADIČ";"014303201";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553818335";"SJEME"
"RADIČ";"014303401";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553818342";"SJEME"
"SALATA";"014303501";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553818366";"SJEME"
"RADIČ";"014303601";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553818373";"SJEME"
"RADIČ";"014303701";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553818397";"SJEME"
"RADIČ";"014303801";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553818427";"SJEME"
"ŠPINAT";"014304001";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553801863";"SJEME"
"ŠPINAT";"014304101";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553801900";"SJEME"
"PORILUK";"014304201";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553802211";"SJEME"
"ROTKVICA";"014304301";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553802280";"SJEME"
"ROTKVICA";"014304401";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553802297";"SJEME"
"KRASTAVAC";"014304601";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553802600";"SJEME"
"KRASTAVAC";"014304801";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553802648";"SJEME"
"BLITVA";"014304901";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553802747";"SJEME"
"BLITVA";"014305001";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553827412";"SJEME"
"TIKVICA";"014305101";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553802860";"SJEME"
"TIKVICA";"014305201";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553828617";"SJEME"
"TIKVICA";"014305301";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553828624";"SJEME"
"PAPRIKA";"014305401";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553802907";"SJEME"
"RAJČICA";"014305501";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553802921";"SJEME"
"RAJČICA";"014305601";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553829218";"SJEME"
"RAJČICA";"014305701";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553829256";"SJEME"
"PERŠIN";"014305801";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553803034";"SJEME"
"PERŠIN";"014305901";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553803041";"SJEME"
"BOSILJAK";"014306001";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553803096";"SJEME"
"BOSILJAK";"014306101";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553803119";"SJEME"
"KOMORAČ";"014306201";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553803171";"SJEME"
"ŠUMSKA JAGODA";"014306301";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553803492";"SJEME"
"LIJEPA NISKA";"014306401";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553803522";"SJEME"
"DRAGOLJUB";"014306501";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553804338";"SJEME"
"ZIJEVALICA";"014306601";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553804505";"SJEME"
"ZIJEVALICA";"014306701";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553804512";"SJEME"
"KARANFIL TURSKI";"014306801";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553804673";"SJEME"
"PRKOS";"014306901";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553804871";"SJEME"
"MIX CVIJEĆA";"014307001";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553805175";"SJEME"
"MAĆUHICA";"014307101";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553805304";"SJEME"
"BILJKE PENJAČICE";"014307201";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553805755";"SJEME"
"CINIJA";"014307301";"NO BRAND";1;"PZ";0.59;0.59;0;0;0;0.59;"8001553805922";"SJEME"
