BARKOD_ARTIKLA,SIFRA_ARTIKLA,NAZIV_ARTIKLA,BRAND,ROBNA_STRUKTURA,JEDINICA_MJERE,NETO_KOLICINA,MPC,MPC_POSEBNA_PRODAJA,CIJENA_PO_JM,MPC_NAJNIZA_30,MPC_020525,DATUM_ULASKA_NOVOG_ARTIKLA,PRVA_CIJENA_NOVOG_ARTIKLA
3859892884338,10004460,SIR PRAMENKO 200 g PAŠKA SIRAN,,HLAĐENO I SMRZNUTO,kom,"0,200","6,49",,"32,45",,"6,49",,
3859888116139,10004473,"ULJE MASL.DJEV.0,50 L POSTIRA",,PAKIRANA HRANA I PIĆE,kom,"0,500","11,99",,"23,98",,"11,99",,
3850104301353,10004090,TUNA KOM. 2x80 g EVA BILJ.ULJE,EVA,PAKIRANA HRANA I PIĆE,kom,"0,160","4,99",,"31,19",,"4,99",,
3850105143044,10004098,PASTA ZA ZUBE 75 ml KALODONT M,KALODONT,NEPREHRANA,kom,"0,075","1,59",,"21,2",,"1,59",,
3850105169693,10004105,"NILA 2,7 L MY BEAUT.DELICATES",NILA,NEPREHRANA,kom,"2,700",,"4,59","1,7","9,99","9,99",,
3870128025967,10004127,"OMEKŠIVAČ 0,9 L VIOLETA ORIGIN",VIOLETA,NEPREHRANA,kom,"0,900","2,99",,"3,32",,"2,99",,
8006540063460,10004163,ŠAMPON 225 ml H&S 2IN1 CLASSIC,HEAD AND SHOULDERS,NEPREHRANA,kom,"0,225",,"1,99","8,84","2,95","3,99",,
3870474000878,10004261,PELINKOVAC 1 L ZLATNI PELIN,ZLATNI PELIN,PAKIRANA HRANA I PIĆE,kom,"1,000","15,49",,"15,49",,"15,49",,
8001585004164,10004263,TORTA TIRAMISU 400 g BALCONI,BALCONI,PAKIRANA HRANA I PIĆE,kom,"0,400","4,15",,"10,38",,"4,15",,
7622210371638,10004276,ČOKOLADA MLIJ. BUBBLY 90 g MIL,MILKA,PAKIRANA HRANA I PIĆE,kom,"0,090","2,65",,"29,44",,"2,65",,
3850104274978,10004317,PAŠTETA OD TUNE 95 g LIM. EVA,EVA,PAKIRANA HRANA I PIĆE,kom,"0,095","1,99",,"20,95",,"1,99",,
8006540069356,10004353,PAMPERS PANTS EXTRA LARGE 44/1,PAMPERS,NEPREHRANA,kom,"44,000","20,49",,"0,47",,"19,99",,
8606107488547,10004389,ROLAT KOKOS 250 g WALTZ,WALTZ,PAKIRANA HRANA I PIĆE,kom,"0,250","1,55",,"6,2",,"1,55",,
8000305141004,10004418,"VINO CUSTOZA 0,75 L  LENOTTI",LENOTTI,PAKIRANA HRANA I PIĆE,kom,"0,750","7,49",,"9,99",,"7,49",,
5411188118732,10004469,NAPITAK KOKOS-BADEM 1 L ALPRO,,PAKIRANA HRANA I PIĆE,kom,"1,000","4,29",,"4,29",,"4,29",,
3877000209170,10004491,"NAPITAK GAZ.0,5 L ORANGINA REG",,PAKIRANA HRANA I PIĆE,kom,"0,500","1,75",,"3,5",,"1,75",,
3850291049281,10004518,KAVA MLJEV. ORIG. 9 g FRANCK,FRANCK,PAKIRANA HRANA I PIĆE,kom,"0,009","0,49",,"54,44",,"0,49",,
7638900227550,10004522,BATERIJE ENER. AAA/R3 4/1,EVEREADY,NEPREHRANA,kom,"4,000","2,15",,"0,54",,"2,15",,
3858881082038,10004525,ČAJ KAMILICA 20 g OMOT FRANCK,FRANCK,PAKIRANA HRANA I PIĆE,kom,"0,020","2,05",,"102,5",,"2,05",,
9008700124195,10004544,NEKTAR JABUKA 2 L BRAVO,BRAVO,PAKIRANA HRANA I PIĆE,kom,"2,000","3,29",,"1,65",,"3,29",,
3858886465768,10004546,RAGU MESNI 400 g PODRAVKA,PODRAVKA,PAKIRANA HRANA I PIĆE,kom,"0,400","4,25",,"10,63",,"4,29",,
8009470031097,10004562,ARTU MP 300 g ALU POS PILETINA,,NEPREHRANA,kom,"0,300","1,05",,"3,5",,"1,05",,
292498,10004598,"SVINJSKA LOPATICA SK I KOŽOM,",,SVJEŽI ODJELI,kg,"1,000","4,19",,"4,19",,"4,19",,
3850108060157,10004609,MASLAC 10 g VINDIJA,Z BREGOV,HLAĐENO I SMRZNUTO,kom,"0,010","0,39",,39,,"0,39",,
9005800046334,10004615,NIVEA VISAGE JAS.OD VAT.80 kom,NIVEA,NEPREHRANA,kom,"80,000","3,05",,"0,04",,"2,85",,
3859890561293,10004619,RAVIOLI OVČJI SIR 250 g AURELI,,HLAĐENO I SMRZNUTO,kom,"0,250","3,29",,"13,16",,"3,29",,
42212126,10004621,"AIRWAVES LIQ.DROPS STR. 33,5 g",AIRWAVES,PAKIRANA HRANA I PIĆE,kom,"0,034","1,15",,"33,82",,"1,15",,
5941209010849,10004656,JOGURT VOĆNI JAG.4X100 g DANON,DANONE,HLAĐENO I SMRZNUTO,kom,"0,400","2,99",,"7,48",,"2,99",,
