Naziv proizvoda;Sifra proizvoda;Marka proizvoda;Neto kolicina;Jedinica mjere;Maloprodajna cijena;Cijena po JM;MPC za vrijeme posebnog oblika prodaje;Najniza cijena u poslj. 30 dana;Sidrena cijena na 2.5.2025;Barkod;Kategorija proizvoda;
SECER SMEDJI 500 G MOLASSES BILLINGTON;040420;BILLINGTONS;0,500 KG;KOM;2,87;5,74;;;2,87;5010651001412;HRANA;
SECER SMEDJI MUSCAVADO LIGHT 500 G BILLINGTON'S;040421;BILLINGTONS;0,500 KG;KOM;3,29;6,58;;;3,29;5010651001214;HRANA;
SECER SMEDJI DARK MUSCAVADO 500 G BILLINGTON'S;040448;BILLINGTONS;0,500 KG;KOM;3,29;6,58;;;3,29;5010651001313;HRANA;
SECER MLJEVENI 500 G  FRANCK;040501;FRANCK OSTALO;0,500 KG;KOM;1,85;3,70;;;1,85;3858881087477;HRANA;
SECER U PRAHU 250 G FRANCK;040502;FRANCK OSTALO;0,250 KG;KOM;,99;3,96;;;,99;3858881087460;HRANA;
SOL 250 G SITNA SOLJENKA PAG 91;040708;PAG 91;0,250 KG;KOM;1,18;4,72;;;1,18;3859888817166;HRANA;
SOL MORSKA SITNA 1 KG  SOLANA PAG KUTIJA;040709;SOLANA PAG;1 KG;KOM;,79;0,79;;;,79;3859888155114;HRANA;
SOL MORSKA SITNA 5 KG PVC SOLANA PAG;040715;SOLANA PAG;5 KG;KOM;2,81;0,56;;;2,81;3859888155398;HRANA;
SOL 1 KG SITNA VREC.PAG 91;040717;PAG 91;1 KG;KOM;,49;0,49;;;,49;3859888817029;HRANA;
SOL KRUPNA PVC 5 KG SOLANA PAG;040718;SOLANA PAG;5 KG;KOM;2,66;0,53;;;2,66;21062008;HRANA;
SOL 1 KG KRUPNA VREC.PAG 91;040720;PAG 91;1 KG;KOM;,73;0,73;;;,73;3859888817036;HRANA;
SOLJENKA 250 G SOLANA PAG;040730;SOLANA PAG;0,250 KG;KOM;1,25;5,00;;;1,25;3859888155183;HRANA;
SOL 1 KG SITNA KUT.PAG 91;040740;PAG 91;1 KG;KOM;,79;0,79;;;,79;3859888817005;HRANA;
SOL 1 KG KRUPNA KUT.PAG 91;040741;PAG 91;1 KG;KOM;,74;0,74;;;,74;3859888817012;HRANA;
SOL 1 KG  SITNA TUZLA;040743;TUZLA SOL;1 KG;KOM;,72;0,72;;;,76;3870009000014;HRANA;
SOL 10 KG  KRUPNA SOLANA PAG;040757;SOLANA PAG;10 KG;KOM;4,85;0,49;;;4,99;10102007;HRANA;
ULJE PVC 1 L "BI" ZVIJEZDA;040803;ULJA ZVIJEZDA NETO NETO;1 L;KOM;1,69;1,69;;;1,69;3858882210065;HRANA;
ULJE MASLINOVO EX.DJEVICANSKO 750 ML MONINI;040820;MONINI;0,750 L;KOM;10,49;13,99;;;10,49;80508816;HRANA;
ULJE 3 L SU PET  ZVIJEZDA;040901;ULJA ZVIJEZDA NETO NETO;3 L;KOM;5,09;1,70;;;5,09;3858882211345;HRANA;
ULJE "SU" 1 L PVC ZVIJEZDA;040903;ULJA ZVIJEZDA NETO NETO;1 L;KOM;1,69;1,69;;;1,69;3858882210010;HRANA;
ULJE MASLINOVO EKSTRA DJEVICANSKO 0,5 L PZ MARINA;041101;PZ MARINA PAKIRANO;0,500 L;KOM;11,99;23,98;;;11,99;3859888295032;HRANA;
MASLINOVO ULJE DJEVICANSKO 0,25 L BLATO;041109;BLATO MASLINOVA ULJA;0,250 L;KOM;7,39;29,56;;;7,39;3859888154254;HRANA;
ULJE MASL.0,75 L DJ.PZ POSTIRA STAKLO;041117;POSTIRA;0,750 L;KOM;19,35;25,80;;;19,35;3859888116030;HRANA;
MASLINOVO ULJE DJEVICANSKO 0,5 L POSTIRA;041118;POSTIRA;0,500 L;KOM;15,39;30,78;;;15,39;3859888116139;HRANA;
MASLINOVO ULJE DJEVICANSKO 0.25 L PZ POSTIRA;041127;POSTIRA;0,250 L;KOM;10,2;40,80;;;11,59;3859888116047;HRANA;
ULJE MASLINOVO E.D.1 L ST. ZVIJEZDA STAKLO;041193;ZVIJEZDA MASLINOVA ULJA;1 L;KOM;13,99;13,99;;;13,99;3858882211550;HRANA;
ULJE MASLINOVO  E.D.0.5 L ZVIJEZDA STAKLO;041195;ZVIJEZDA MASLINOVA ULJA;0,500 L;KOM;7,49;14,98;;;7,49;3858882211574;HRANA;
RIZA PARBOILED U VREC.4 X 125 G;041821;KRESTO;0,500 KG;KOM;2,19;4,38;;;2,19;3858882290463;HRANA;
RIZA 800 G LIDO Z.POLJE PVC;041906;PODRAVKA RIZA;0,800 KG;KOM;2,59;3,24;;;2,59;3838700540314;HRANA;
RIZA 500 G ZLATO POLJE SAN ANDREA;041910;PODRAVKA RIZA;0,500 KG;KOM;2,59;5,18;;;2,59;3838700540482;HRANA;
RIZA 1 KG LIDO ZL.POLJE;041912;PODRAVKA RIZA;1 KG;KOM;3,39;3,39;;;3,39;3838700540291;HRANA;
RIZA INTEGRO 1 KG RISO GALLO;041915;GALLO;1 KG;KOM;4,59;4,59;;;4,59;8001420000788;HRANA;
RIZA 1 KG SCOTTI ARBORIO;041926;SCOTTI;1 KG;KOM;4,99;4,99;;;4,99;8001860201011;HRANA;
RIZA 1 KG SCOTTI ORO PARBOILED;041928;SCOTTI;1 KG;KOM;3,71;3,71;;;3,71;8001860190520;HRANA;
RIZA INTEGRALNA 1 KG SCOTTI;041929;SCOTTI;1 KG;KOM;5,71;5,71;;;5,71;8001860190513;HRANA;
RIZA BLOND RISOTTI 1 KG RISO GALLO;041930;GALLO;1 KG;KOM;4,59;4,59;;;4,59;8001420003666;HRANA;
RIZA PER RISOTTI 1 KG RISO GALLO;041934;GALLO;1 KG;KOM;4,39;4,39;;;4,39;8001420100846;HRANA;
RIZA ORIGINARIO 1 KG RISO GALLO;041938;GALLO;1 KG;KOM;3,79;3,79;;;3,79;8001420100686;HRANA;
RIZA ARBORIO 1 KG RISO GALLO;041947;GALLO;1 KG;KOM;4,99;4,99;;;4,99;8001420002911;HRANA;
RIZA 500 G ARBORIO  SCOTTI;041951;SCOTTI;0,500 KG;KOM;3,85;7,70;;;3,85;8001860201516;HRANA;
RIZA 1 KG CARNAROLI SCOTTI;041953;SCOTTI;1 KG;KOM;7,28;7,28;;;7,28;8001860010019;HRANA;
RIZA SCOTTI ORIGINARIO 1 KG;041973;SCOTTI;1 KG;KOM;4,79;4,79;;;4,79;8001860100017;HRANA;
RIZA 500 G U VRECICI (4X125 G)KRESTO;041986;KRESTO;0,500 KG;KOM;1,5;3,00;;;1,5;3858882290432;HRANA;
PALENTA INS.450 G VRECICA FRANCK;042001;FRANCK  KONZERVIRANO;0,450 KG;KOM;1,39;3,09;;;1,39;3858881080744;HRANA;
GRIS PSENICNI T-400 1 KG TENA;042003;BRASNO TENA;1 KG;KOM;1,1;1,10;;;1,1;3858887101511;HRANA;
KRUPICA PSENICNA T-400 1 KG PODRAVKA;042004;PODRAVKA BRASNO,PALENTA I KRUPICE;1 KG;KOM;1,1;1,10;;;1,1;3850104064029;HRANA;
PALENTA 450 G INS.ZLATO POLJE;042005;PODRAVKA BRASNO,PALENTA I KRUPICE;0,450 KG;KOM;,86;1,91;;;,86;3838700540147;HRANA;
BRASNO KUKURUZNO 1 KG PODRAVKA;042008;PODRAVKA BRASNO,PALENTA I KRUPICE;1 KG;KOM;1,49;1,49;;;1,49;3850104052552;HRANA;
KRUPICA KUKURUZNA 1 KG PODRAVKA;042011;PODRAVKA BRASNO,PALENTA I KRUPICE;1 KG;KOM;1,79;1,79;;;1,79;3850104053429;HRANA;
KUKURUZNI ZDROB 1 KG MLINOTEST;042012;MLINOTEST;1 KG;KOM;2,79;2,79;;;2,79;3831001801122;HRANA;
JECAM 1 KG MLINOTEST;042017;MLINOTEST;1 KG;KOM;2,39;2,39;;;2,39;3831001801177;HRANA;
PALENTA 250 G INST.ZITO;042026;PODRAVKA BRASNO,PALENTA I KRUPICE;0,250 KG;KOM;,99;3,96;;;,99;3838700540116;HRANA;
NJOKI 500 G CUCINA ITALIANA;042030;CUCINA ITALIANA;0,500 KG;KOM;1,99;3,98;;;1,99;8000506014008;HRANA;
PSENICNA KRUPICA 200 G PODRAVKA;042033;PODRAVKA BRASNO,PALENTA I KRUPICE;0,200 KG;KOM;,99;4,95;;;,99;3850104075339;HRANA;
PSEN.KRUP.INS. 400 G GRIS FRANCK;042069;FRANCK  KONZERVIRANO;0,400 KG;KOM;1,69;4,23;;;1,69;3858881081598;HRANA;
RIZA ZLATO POLJE 1 KG VAKUM;042070;PODRAVKA RIZA;1 KG;KOM;3,99;3,99;;;3,99;3838700540413;HRANA;
RIZA ANDREA VAKUM 1 KG PODRAVKA;042071;PODRAVKA RIZA;1 KG;KOM;4,99;4,99;;;4,99;3838700540406;HRANA;
RIZA PARBOILED VAK.1 KG ZLATO POLJE;042072;PODRAVKA RIZA;1 KG;KOM;4,69;4,69;;;4,69;3838700540420;HRANA;
TJ.VERMICCELLI TAGLIATI 500 G RISCOSSA;042086;RISCOSSA;0,500 KG;KOM;,99;1,98;;;1,19;8011780009703;HRANA;
TJ.TAGLIATELLE VERDI 500 G RISCOSA;042091;RISCOSSA;0,500 KG;KOM;1,99;3,98;;;1,99;8011780041871;HRANA;
TJES.DOM.ZEL.LAZANJE 500 G KLARA M;042095;KLARA M;0,500 KG;KOM;4,4;8,80;;;4,4;3859888499119;HRANA;
TJEST.CAPELLINI 1 500 G BARILLA KUTIJA;042175;BARILLA TJESTENINA - 17 VRSTA;0,500 KG;KOM;2,05;4,10;;;2,05;8076800195019;HRANA;
TJEST.BUCATINI 9 500 G BARILLA KUTIJA;042176;BARILLA TJESTENINA - 17 VRSTA;0,500 KG;KOM;2,69;5,38;;;2,69;8076800315097;HRANA;
TJEST. LASAGNE 199 500 G BARILLA KUTIJA;042179;BARILLA TJESTENINA - 17 VRSTA;0,500 KG;KOM;4,35;8,70;;;4,35;8076800376999;HRANA;
TJ. PUZICI S JAJ.500 G;042194;PODRAVKA TJESTENINA;0,500 KG;KOM;2,49;4,98;;;2,49;3838700010725;HRANA;
TORTELINI SUHI S MESOM 250 G ALIBERT;042198;ALIBERT;0,250 KG;KOM;1,86;7,44;;;1,86;8008450002416;HRANA;
TJEST.SPAGHETTONI 7 500 G BARILLA KUTIJA;042320;BARILLA TJESTENINA - 17 VRSTA;0,500 KG;KOM;1,09;2,18;;;1,09;8076808150072;HRANA;
PACCHERI TJESTENINA 500 G DE CECCO;042323;DE CECCO;0,500 KG;KOM;3,89;7,78;;;3,89;8001250121257;HRANA;
TJ. PENNE RIGATE 500 G DE CECCO VRECICA;042355;DE CECCO;0,500 KG;KOM;2,39;4,78;;;2,39;8001250120410;HRANA;
TJ. FUSILLI 500 G DE CECCO VRECICA;042390;DE CECCO;0,500 KG;KOM;2,39;4,78;;;2,39;8001250120342;HRANA;
TJEST.PENNE RIGATE 73 1 KG BARILLA KUTIJA;042409;BARILLA TJESTENINA - 17 VRSTA;1 KG;KOM;3,66;3,66;;;3,66;8076800105735;HRANA;
TJEST. FUSILLI 98 1 KG BARILLA KUTIJA;042411;BARILLA TJESTENINA - 17 VRSTA;1 KG;KOM;3,66;3,66;;;3,66;8076800105988;HRANA;
TJEST.SPAGHETTINI 3 1 KG BARILLA KUTIJA;042416;BARILLA TJESTENINA - 17 VRSTA;1 KG;KOM;3,66;3,66;;;3,66;8076800105032;HRANA;
TJ. PUZ 63 400 G PARADISO VRECICA;042432;RAGUSA BRAND;0,400 KG;KOM;1,72;4,30;;;1,72;3859889154048;HRANA;
TJ.VIJAK 400 G PARADISO VRECICA;042435;RAGUSA BRAND;0,400 KG;KOM;1,72;4,30;;;1,72;3859889154062;HRANA;
TJ.SKOLJKE 400 G PARADISO VRECICA;042438;RAGUSA BRAND;0,400 KG;KOM;1,72;4,30;;;1,72;3859889154109;HRANA;
TJ.SIR.REZANCI 400 G PARADISO;042443;RAGUSA BRAND;0,400 KG;KOM;1,99;4,98;;;1,99;3859889154246;HRANA;
TJ.DOMACE LAZANJE 400 G RAGUSA;042445;RAGUSA BRAND;0,400 KG;KOM;2,25;5,63;;;2,25;3859889154727;HRANA;
TJEST.FUSILLI 98 500 G BARILLA KUTIJA;042462;BARILLA TJESTENINA - 17 VRSTA;0,500 KG;KOM;;1,98;,99;1,95;1,95;8076802085981;HRANA;
TJ.PIPE RIGATE  500 G BARILA KUTIJA;042463;BARILLA TJESTENINA - 17 VRSTA;0,500 KG;KOM;2,05;4,10;;;2,05;8076802085912;HRANA;
TJEST.SPAGHETTI 5 500 G BARILLA KUTIJA;042468;BARILLA TJESTENINA - 17 VRSTA;0,500 KG;KOM;;1,98;,99;1,09;1,09;8076800195057;HRANA;
TJEST.SPAGHETTINI 3 500 G BARILLA KUTIJA;042469;BARILLA TJESTENINA - 17 VRSTA;0,500 KG;KOM;1,09;2,18;;;1,09;8076800195033;HRANA;
TJ.PENNE RIGATE 73 500 G  BARILLA KUTIJA;042500;BARILLA TJESTENINA - 17 VRSTA;0,500 KG;KOM;1,19;2,38;;;1,19;8076802085738;HRANA;
TJEST.BAVETTE 13 500 G BARILLA KUTIJA;042517;BARILLA TJESTENINA - 17 VRSTA;0,500 KG;KOM;2,05;4,10;;;2,05;8076800195132;HRANA;
TJEST.PAPPARDELE EMILIJANE  250 G BARILLA KUTIJA;042526;BARILLA TJESTENINA OSTALO;0,250 KG;KOM;3,35;13,40;;;3,35;8076809514774;HRANA;
TJES.RINCICE S MRKVOM 250 G MLINOTEST VRECICA;042609;MLINOTEST;0,250 KG;KOM;1,79;7,16;;;1,79;3831001818793;HRANA;
TJ. VITA PERLINE S MRKVOM 250 G MLINOTEST VRECICA;042610;MLINOTEST;0,250 KG;KOM;1,79;7,16;;;1,79;3831001818809;HRANA;
TJ.PENNETTE DI MEZZANI 500 G DIVELLA;042692;DIVELLA TJESTENINA;0,500 KG;KOM;,98;1,96;;;,98;8005121000382;HRANA;
TJ.PENNONI RIGATI 500 G DIVELLA;042701;DIVELLA TJESTENINA;0,500 KG;KOM;,98;1,96;;;,98;8005121000290;HRANA;
TJ.PUZ 66 400 G PARADISO;042831;RAGUSA BRAND;0,400 KG;KOM;1,72;4,30;;;1,72;3859889154161;HRANA;
TORTELINI SUHI S PRSUTOM 250 G ALIBERT;043003;ALIBERT;0,250 KG;KOM;1,86;7,44;;;1,86;8008450991093;HRANA;
DVOPEK INTEGRALNI 315 G MULINO BIANCO;043041;MULINO BIANCO DVOPEK;0,315 KG;KOM;1,8;5,71;;;1,8;8076809512077;HRANA;
TJEST.FARFALLE 65 500 G BARILLA KUTIJA;043085;BARILLA TJESTENINA - 17 VRSTA;0,500 KG;KOM;2,66;5,32;;;2,66;8076808060654;HRANA;
TOAST KRUH KLARA 500 G;043865;ZP KLARA KONZERVIRANO;0,500 KG;KOM;2,15;4,30;;;2,15;3858881320017;HRANA;
MLINCI 250 G KLARA;043869;ZP KLARA KONZERVIRANO;0,250 KG;KOM;1,65;6,60;;;1,85;3858881323025;HRANA;
CROISSANT MARELICA 50 G BAULI;043945;BAULI;0,050 KG;KOM;,75;15,00;;;,75;8001720445814;HRANA;
CROISSANT KAKAO 50 G BAULI;043946;BAULI;0,050 KG;KOM;,75;15,00;;;,75;8001720445821;HRANA;
GRASAK 850 G PODRAVKA LIMENKA;050101;PODRAVKA KONZERVIRANO POVRCE;0,520 KG;KOM;2,59;4,98;;;2,79;3850104050053;HRANA;
GRASAK 400 G BONDUELLE LIMENKA;050116;BONDUELLE;0,265 KG;KOM;1,63;6,15;;;1,63;3083680047364;HRANA;
CRVENI GRAH+KUKURUZ CHILY MEXICANA 430 G BONDUELLE;050121;BONDUELLE;0,200 KG;KOM;2,08;10,40;;;2,08;3083680495882;HRANA;
GRASAK 420 G PODRAVKA LIMENKA;050125;PODRAVKA KONZERVIRANO POVRCE;0,260 KG;KOM;1,49;5,73;;;1,49;3850104050862;HRANA;
GRASAK 200 G BONDUELLE LIMENKA;050131;BONDUELLE;0,130 KG;KOM;1,33;10,23;;;1,33;3083680538404;HRANA;
KUKURUZ SECERAC 170 G BONDUELLE LIMENKA;050146;BONDUELLE;0,140 KG;KOM;1,23;8,79;;;1,23;3083680074094;HRANA;
KRASTAVCI DELIKATES 670 G STAKLO PODRAVKA;051006;PODRAVKA UKISELJENO POVRCE;0,370 KG;KOM;2,99;8,08;;;2,99;3850104050244;HRANA;
KRASTAVCI 330 G DEL.ST. PODRAVKA;051086;PODRAVKA UKISELJENO POVRCE;0,175 KG;KOM;2,49;14,23;;;2,49;3850104093012;HRANA;
PAPRIKA CRVENA FILET 660 G PODRAVKA;051148;PODRAVKA UKISELJENO POVRCE;0,300 KG;KOM;3,79;12,63;;;3,79;3850104040467;HRANA;
KUKURUZ SECERAC 340 G BONDUELLE LIMENKA;051209;BONDUELLE;0,285 KG;KOM;1,73;6,07;;;1,73;3083680053303;HRANA;
KUKURUZ SECERAC 530 G SUP.SWEE STAKLO;051219;BONDUELLE;0,360 KG;KOM;2,12;5,89;;;2,12;3083680015424;HRANA;
CIKLA UKISELJENA 660 G PODRAVKA STAKLO;051304;PODRAVKA UKISELJENO POVRCE;0,380 KG;KOM;1,45;3,82;;;1,45;3850104050718;HRANA;
SALATA MIJESANA 660 G PODRAVKA;051411;PODRAVKA UKISELJENO POVRCE;0,300 KG;KOM;2,69;8,97;;;2,99;3850104051319;HRANA;
GRASAK 280 G PODRAVKA LIMENKA;051433;PODRAVKA KONZERVIRANO POVRCE;0,160 KG;KOM;1,29;8,06;;;1,29;3850104050046;HRANA;
KUKURUZ SECERAC 340 G PODRAVKA LIMENKA;051458;PODRAVKA KONZERVIRANO POVRCE;0,280 KG;KOM;1,59;5,68;;;1,72;3850104063435;HRANA;
FEFERONI LJUTI 310 G PODRAVKA STAKLO;051511;PODRAVKA UKISELJENO POVRCE;0,160 KG;KOM;2,69;16,81;;;2,69;3850104050404;HRANA;
MASLINE ZELENE 690 G PZ MARINA;051608;PZ MARINA PAKIRANO;0,690 KG;KOM;6,69;9,70;;;6,36;3859888295063;HRANA;
MASLINE CRNE 370 G PZ MARINA;051845;PZ MARINA PAKIRANO;0,200 KG;KOM;4,29;21,45;;;4,49;3859888295285;HRANA;
MASLINE CRNE 690 G PZ MARINA;051846;PZ MARINA PAKIRANO;0,690 KG;KOM;6,69;9,70;;;5,79;3859888295094;HRANA;
MASLINE ZELENE 370 G PZ MARINA STAKLO;051890;PZ MARINA PAKIRANO;0,200 KG;KOM;4,29;21,45;;;4,49;3859888295278;HRANA;
