Naziv proizvoda;Sifra proizvoda;Marka proizvoda;Neto kolicina;Jedinica mjere;Maloprodajna cijena;Cijena po JM;MPC za vrijeme posebnog oblika prodaje;Najniza cijena u poslj. 30 dana;Sidrena cijena na 2.5.2025;Barkod;Kategorija proizvoda;
MASLINE ZELENE BK 290 G POLLI STAKLO;725060;POLLI;0,135 KG;KOM;2,89;21,41;;;2,89;8001310074288;HRANA;
GLISS SAMP.400 ML OIL NUTRITIVE;725174;GLISS KUR;0,400 L;KOM;6,49;16,23;;;6,49;9000100549837;DROGERIJA;
PELINKOVAC 1 L DEGENIJA;725416;DEGENIJA;1 L;KOM;13,02;13,02;;;13,02;3859889693066;PICE;
TRAVARICA 1 L DEGENIJA;725421;DEGENIJA;1 L;KOM;13,02;13,02;;;13,02;3859889693127;PICE;
OLD SPICE DEO 150 ML WHITEWATER;725479;OLD SPICE;0,150 L;KOM;4,99;33,27;;;4,99;4084500479821;DROGERIJA;
QUATTRO BAN.SPLIT 900 ML LEDO;725588;QUATTRO;0,900 L;KOM;4,99;5,54;;;4,99;3850116036267;HRANA;
VIOLETA VLAZ.TP DJECJI 60 KOM;725637;VIOLETA;1 KOM;KOM;1,95;1,95;;;1,95;3870128007833;DROGERIJA;
VIOLETA TP PREMIUM 16 KOM 3 SL. LAVANDA I VANILIJA;725640;VIOLETA;16 KOM;KOM;5,49;0,34;;;5,49;3859892288051;DROGERIJA;
VIOL.JUMBO RUCN.2 KOM XXL 3SL.;725642;VIOLETA;2 KOM;KOM;2,79;1,40;;;2,79;3859892288136;DROGERIJA;
PRELJEV ZA TORTE JAGODA 12 G;725645;DR.OETKER;0,012 KG;KOM;,89;74,17;;;,89;5997381348782;HRANA;
KAPARI 100 G LUXEAPERS STAKLO;725683;SPANJOLSKA-UNOS;0,060 KG;KOM;1,72;28,67;;;1,72;8422243006083;HRANA;
CHILI PAPR.LJUTA  100 G LUXEAPERS STAKLO;725684;SPANJOLSKA-UNOS;0,055 KG;KOM;1,72;31,27;;;1,72;8422243050239;HRANA;
KAPULICA U OCTU 100 G LUXEAPERS STAKLO;725685;SPANJOLSKA-UNOS;0,060 KG;KOM;1,39;23,17;;;1,39;8422243092284;HRANA;
MASLINE ZELENE BEZ KOSTICA 200 G DOY PACK AGRO SEVILLA;725687;AGRO SEVILLA;0,075 KG;KOM;1,59;21,20;;;1,59;8410522000389;HRANA;
AXE DEO 150 ML EXCITE;725746;AXE;0,150 L;KOM;;22,73;3,41;3,41;4,55;8718114650708;DROGERIJA;
AXE GEL 250 ML EXCITE;725749;AXE;0,250 L;KOM;;8,96;2,24;2,24;2,99;8710447276587;DROGERIJA;
CAJ CEYLON AHMAD 20X2 G;725862;AHMAD;0,040 KG;KOM;3,45;86,25;;;3,45;054881005630;HRANA;
CAJ ZELENI AHMAD 20X2 G;725863;AHMAD;0,040 KG;KOM;3,45;86,25;;;3,45;054881008945;HRANA;
PIVO OZUJSKO LIMUN 0,5 L POV.BOCA;725933;OZUJSKO;0,500 L;KOM;1,25;2,50;;;1,25;3850131002094;PICE;
PIVO OZUJSKO LIMUN 0,5 L LIM;725934;OZUJSKO;0,500 L;KOM;1,55;3,10;;;1,55;3850131002063;PICE;
MUESLI FRUIT GRANOLA 350 G NATUREL;725975;NATUREL KONDITORAJ;0,350 KG;KOM;3,39;9,69;;;3,39;3858887245062;HRANA;
MUESLI CHOC.GRANOLA 350 G NATUREL;725977;NATUREL KONDITORAJ;0,350 KG;KOM;3,39;9,69;;;3,39;3858887245055;HRANA;
TOAST PANCARRE 430 G MULINO BIANCO;725983;BARILLA MULINO BIANCO TOAST;0,430 KG;KOM;2,42;5,63;;;2,42;8076809582162;HRANA;
SOMERSBY PEAR CIDER 0,33 L N.BOCA;726080;SOMERSBY;0,330 L;KOM;1,67;5,06;;;1,67;7310070748423;PICE;
LAN 150 G KRESTO;726139;KRESTO;0,150 KG;KOM;,93;6,20;;;,93;3858882291552;HRANA;
RIZA PARBOILED 500 G VRECICA;726151;KRESTO;0,500 KG;KOM;1,86;3,72;;;1,86;3858882291590;HRANA;
VODA SENSATION LIMETA-KIWANO 1,5 L PET JAMNICA;726167;JAMNICA SENSATION;1,5 L;KOM;1,69;1,13;;;1,69;3858884602349;PICE;
SLADOLED KORNET FUN TIME 6X110 ML LEDO;726211;LEDO MULTIPACK;0,660 KG;KOM;4,99;7,56;;;4,99;3850116008622;HRANA;
SMOKI 40 G;726245;SOKO STARK;0,040 KG;KOM;,49;12,25;;;,49;8600939507070;HRANA;
SMOKI 130 G;726246;SOKO STARK;0,130 KG;KOM;1,29;9,92;;;1,29;8600939507087;HRANA;
SMOKI 225 G;726247;SOKO STARK;0,225 KG;KOM;;7,07;1,59;1,99;1,99;8600939507094;HRANA;
SLADOLED FAMILY TIME 9X65ML LEDO;726343;LEDO MULTIPACK;0,585 L;KOM;5,99;10,24;;;5,99;3850116006154;HRANA;
FLIPS DINI KECAP 30 G CLIPSY;726670;CLIPSY;0,030 KG;KOM;,99;33,00;;;1,06;8606103039255;HRANA;
COKO BANANICE 25 G SOKO STARK;726812;SOKO STARK;0,025 KG;KOM;,39;15,60;;;,39;86006675;HRANA;
FLIPS HOT DOG 40 G CLIPSY;726982;CLIPSY;0,040 KG;KOM;,99;24,75;;;1,06;8606017373889;HRANA;
HIPP 1 MLIJEKO BIO 600 G;727012;HIPP;0,600 KG;KOM;11,85;19,75;;;11,85;4062300414327;HRANA;
CUPKO SET ZA DEPIL.TIJELA;727018;CUPKO;1 KOM;KOM;3,72;3,72;;;4,38;3859888495029;DROGERIJA;
CUPKO SET.DEP.LICA OSJET.KOZA;727021;CUPKO;1 KOM;KOM;3,27;3,27;;;3,85;3859888495159;DROGERIJA;
REZANI MEKI KRUH 400 G BIJELI MULINO BIANCO;727047;BARILLA MULINO BIANCO TOAST;0,400 KG;KOM;2,07;5,18;;;2,07;8076809504720;HRANA;
KRUH REZANI MEKI  400 G INTEGRALNI MULINO BIANCO;727048;BARILLA MULINO BIANCO TOAST;0,400 KG;KOM;2,35;5,88;;;2,35;8076809504751;HRANA;
SANITAR TORPEDO 1 L;727146;SANITAR;1 L;KOM;3,79;3,79;;;3,79;3850111501128;DROGERIJA;
WHISKEY JACK DANIELS 0,5 L;727363;BROWN FORMAN - JACK DANIEL'S;0,500 L;KOM;19,69;39,38;;;19,69;5099873046067;PICE;
GLISS REG. 200 ML ULTIMATE REPAIR;727452;GLISS KUR;0,200 L;KOM;4,29;21,45;;;4,29;9000100662987;DROGERIJA;
GLISS EXP.REPAIR REG. 200 ML ULTIMATE REPAIR;727453;GLISS KUR;0,200 L;KOM;6,49;32,45;;;6,49;4015000941334;DROGERIJA;
ASEBON SAMP.200 ML MASNA PROT.PRHUTI;727533;MAGDIS;0,200 L;KOM;6,1;30,50;;;6,1;3856007903328;DROGERIJA;
ASEBON SAMP.200 ML SUHA PROT.PRHUTI;727534;MAGDIS;0,200 L;KOM;6,1;30,50;;;6,1;3856007903335;DROGERIJA;
CAREFREE LARGE 48 KOM;727535;CAREEFREE;48 KOM;KOM;3,38;0,07;;;3,38;3574661487618;DROGERIJA;
CAREFREE FLEXI WHITE 56 KOM;727536;CAREEFREE;56 KOM;KOM;3,49;0,06;;;3,49;3574661552576;DROGERIJA;
DOVE TEK.SAP.CREAM R. 500 ML;727727;DOVE;0,500 L;KOM;;5,56;2,78;3,98;3,98;4000388179004;DROGERIJA;
DOVE TEK.SAP.SILK 500 ML REFIL;727729;DOVE;0,500 L;KOM;;5,56;2,78;3,98;3,98;8717163573792;DROGERIJA;
PITROID SPRAY 300ML PROTIV GMIZUCIH KUKACA;727855;PITROID;0,300 L;KOM;4,05;13,50;;;4,05;3856007903618;DROGERIJA;
PITROID SPRAY 300ML PROTIV LETECIH KUKACA;727856;PITROID;0,300 L;KOM;4,05;13,50;;;4,05;3856007903625;DROGERIJA;
DIPTEROL ACTIVE NATURAL LOSION 100 ML;727860;PITROID;0,100 L;KOM;5,99;59,90;;;5,99;3856007903045;DROGERIJA;
RECEPT SAMP. 400 ML PROT.OPADANJA KOSE;727932;ILIRIJA ASORTIMAN;0,400 L;KOM;6,08;15,20;;;6,08;3838980522130;DROGERIJA;
AUTAN TROP.LOSION 100 ML;728024;AUTAN;0,100 L;KOM;10,96;109,60;;;10,96;5000204616392;DROGERIJA;
M DONNA JEDNOKR.GACICE 3;728328;CHICCO KOZMETIKA;;KOM;2,65;;;;4,51;8003670665922;DROGERIJA;
PIVO DESPERADOS 0,33 L N.B.;728651;DESPERADOS;0,330 L;KOM;1,64;4,97;;;1,64;9028800150580;PICE;
KUHANA TJESTENINA PLODINE;728665;PLODINE GASTRO;;KG;2,99;;;;2,99;;HRANA;
VINO PLAVAC 0,75 L PZ DINGAC;728699;PZ DINGAC;0,750 L;KOM;4,99;6,65;;;4,99;3859888108042;PICE;
VINO PELJESAC 0,75 L PZ DINGAC;728700;PZ DINGAC;0,750 L;KOM;5,52;7,36;;;5,52;3859888108035;PICE;
VINO DINGAC 0,75 L PZ DINGAC;728704;PZ DINGAC;0,750 L;KOM;17,52;23,36;;;17,52;3859888108011;PICE;
VRHNJE ZA KUHANJE LIGHT 500 ML MEGGLE;728738;MEGGLE;0,500 L;KOM;3,29;6,58;;;3,29;3870085021828;HRANA;
LOKUM ROSE 180 G JADRAN GOTTINO;728936;ADRIA;0,180 KG;KOM;1,15;6,39;;;1,15;3858890261844;HRANA;
LOKUM ORAH 180 G JADRAN GOTTINO;728938;ADRIA;0,180 KG;KOM;1,29;7,17;;;1,29;3858890261868;HRANA;
LIZALJKE CANDY CANES 14 G;728944;DUPIN OSTALO;0,014 KG;KOM;,35;25,00;;;,35;54083219;HRANA;
DATULJA 200 G VEDRINI PRIMORAC;729050;VEDRINI SUHO PAKIRANO;0,200 KG;KOM;1,33;6,65;;;1,33;3859890630562;HRANA;
PALMOLIVE GEL 250 ML ORHIDEA;729051;PALMOLIVE;0,250 L;KOM;;6,68;1,67;1,67;2,79;8714789732947;DROGERIJA;
PALM.TEK.SAP.300 ML BLACK ORHIDEA;729053;PALMOLIVE;0,300 L;KOM;;6,57;1,97;1,97;3,49;8714789939698;DROGERIJA;
L.CAJ BRESKVA 3X0,2L SUPER PONUDA;729151;VINDIJA VINDI;0,400 L;KOM;1,59;3,98;;;1,59;3850108077292;PICE;
SOK VINDI NARANCA 3X 0,2 L;729152;VINDIJA VINDI;0,600 L;KOM;1,59;2,65;;;1,59;3850108078992;PICE;
KOKOSOVO MLIJEKO 165 ML SHAN SHI;729195;SHAN SHI;0,165 L;KOM;2,15;13,03;;;2,15;9120012041691;HRANA;
RIZIN PAPIR 134 G BLUE DRAGON;729212;BLUE DRAGON;0,134 KG;KOM;;27,76;3,72;4,65;4,65;5010338015817;HRANA;
VAPE DERM HERBAL LOS.100 ML PROTIV UBODA;729277;VAPE;0,100 L;KOM;6,75;67,50;;;6,5;8055136822592;DROGERIJA;
VAPE SPIRALE 10 KOM MIRISNE;729278;VAPE;10 KOM;KOM;2,09;0,21;;;2,09;8006320037056;DROGERIJA;
GRAH SMEDJI 400 G VALFRUTTA LIMENKA;729376;VALFRUTTA;0,250 KG;KOM;1,69;6,76;;;1,69;8001440009907;HRANA;
SPONTEX SPUZV.KRPA NATURA 3/1;729386;SPONTEX;3 KOM;KOM;2,39;0,80;;;2,39;9001378421580;PROIZVODI ZA KUCANSTVO;
SLANUTAK 400 G VALFRUTTA LIMENKA;729387;VALFRUTTA;0,250 KG;KOM;1,69;6,76;;;1,69;8001440009969;HRANA;
SPONTEX SPUZVA  GRIFF MAX 2 /1;729404;SPONTEX;2 KOM;KOM;1,19;0,60;;;1,19;9001378700104;PROIZVODI ZA KUCANSTVO;
RAJCICA PAS.3X200 ML VALFRUTTA;729405;VALFRUTTA;0,600 L;KOM;2,99;4,98;;;2,99;8001440008559;HRANA;
RAJCICA SJECKANA 400 G VALFRUTTA;729410;VALFRUTTA;0,400 KG;KOM;1,99;4,98;;;1,99;8001440111143;HRANA;
RAJCICA SJECKANA 2X330 ML VALFRUTTA;729413;VALFRUTTA;0,660 L;KOM;3,19;4,83;;;3,19;8001440118401;HRANA;
KOMPOT BRESKVA 411 G VALFRUTTA;729418;VALFRUTTA;0,240 KG;KOM;2,49;10,38;;;2,49;8001440000072;HRANA;
KOMPOT KRUSKA 411 G VALFRUTTA;729423;VALFRUTTA;0,230 KG;KOM;2,49;10,83;;;2,49;8001440000041;HRANA;
VOCNA SALATA 411 G VALFRUTTA;729427;VALFRUTTA;0,250 KG;KOM;2,75;11,00;;;2,75;8001440000102;HRANA;
CREME PATTISERIE 200 ML MEGGLE;730050;MEGGLE;0,200 KG;KOM;1,19;5,95;;;1,19;8585002510600;HRANA;
SEITAN SALAMA 120 G ANNAPURNA;730094;ANNAPURNA;0,120 KG;KOM;2,25;18,75;;;2,25;3859890343165;HRANA;
BRUSCHETTE CESNJAK 70 G MARETTI;730286;ITAL FOOD (MARETTI);0,070 KG;KOM;,95;13,57;;;,95;3800205870517;HRANA;
CRVENA KUPUS SALATA;730383;PLODINE GASTRO;;KG;2,65;;;;2,65;;HRANA;
NATUREL.ULOS.ULT.NIGHT 7 KOM;730429;NATURELLA;7 KOM;KOM;1,75;0,25;;;1,75;4015400435846;DROGERIJA;
NATURELLA ULOSCI ULTRA NIGHT 14 KOM;730430;NATURELLA;14 KOM;KOM;2,29;0,16;;;2,92;8001090585394;DROGERIJA;
MEDICA 0,1 L BADEL;730449;RAKIJE BADEL;0,100 L;KOM;1,65;16,50;;;1,65;3850112110688;PICE;
SAVIJACA VANILIJA-SUMSKO VOCE 500 G LEDO;730579;LEDO TIJESTO;0,500 KG;KOM;3,99;7,98;;;3,99;3850116888972;HRANA;
LIGNJA PATAGONIJSKA -KOLUTICI I KRAKOVI 400G LEDO;730580;LEDO RIBA;0,400 KG;KOM;9,99;24,98;;;9,99;3850116892313;HRANA;
GLADE MICROSPR.DUO REFIL;730700;GLADE;2 KOM;KOM;8,79;4,40;;;8,79;3858889570032;DROGERIJA;
FRISKIES SM STERILCAT 300 G;730755;NESTLE PURINA;0,300 KG;KOM;2,19;7,30;;;2,19;7613033000225;HRANA;
FRISKIES SM STERILCAT 1,5 KG;730756;NESTLE PURINA;1,5 KG;KOM;;3,06;4,59;6,69;6,69;7613287147141;HRANA;
GOURMET GOLD MULTIPAK MOUSSE 4X85 G;730758;NESTLE PURINA;0,340 KG;KOM;3,09;9,09;;;3,09;7613032956240;HRANA;
GILLETE SIMPLE VENUS3 + BRIT.3 KOMADA;730766;GILLETTE;3 KOM;KOM;5,17;1,72;;;5,17;7702018018116;DROGERIJA;
PIVO PAN RADLER LIMUN 0,5 L BOCA;730805;PAN;0,500 L;KOM;1,27;2,54;;;1,27;3858887580828;PICE;
SOK BRAVO JABUKA 2 L;730876;RAUCH;2 L;KOM;3,19;1,60;;;3,19;9008700124195;PICE;
OCAT JABUCNI VOC.1 L SEGESTICA;730915;LABUD I BADEL OCAT;1 L;KOM;1,19;1,19;;;1,19;3858889640025;HRANA;
OCAT VINSKI 1 L SEGESTICA;730916;LABUD I BADEL OCAT;1 L;KOM;1,66;1,66;;;1,66;3858889640032;HRANA;
LIKER APEROL 0,7 L;730942;APEROL;0,700 L;KOM;18,99;27,13;;;18,99;8002230000302;PICE;
VINO VRHUNSKO DINGAC RESERVA 0,75 L;730979;VINA SKARAMUCA;0,750 L;KOM;24,99;33,32;;;24,99;3859888214316;PICE;
RUM CAPTAIN MORGAN SPICED 0,7 L;731072;MORGAN;0,700 L;KOM;19,99;28,56;;;19,99;5000299223017;PICE;
PAPRIKA SALATA;731087;PLODINE GASTRO;;KG;7,99;;;;7,99;;HRANA;
PUR 450 ML BALZAM ALOE VERA;731156;PUR;0,450 L;KOM;1,49;3,31;;;1,99;90407024;DROGERIJA;
PUR 450 ML TOTAL LEMON;731159;PUR;0,450 L;KOM;1,49;3,31;;;1,99;90005596;DROGERIJA;
PUR 450 ML DUO POWER APPLE;731160;PUR;0,450 L;KOM;1,49;3,31;;;1,99;90005602;DROGERIJA;
VINO PLAVAC SKARAMUCA PREMIUM 0,75 L;731198;VINA SKARAMUCA;0,750 L;KOM;7,79;10,39;;;9,99;3859888214101;PICE;
LIMONCE 0,5 L STOCK;731236;LIMONCE;0,500 L;KOM;10,02;20,04;;;10,02;8000440112815;PICE;
KAKAO INS.KRAS EXPR. 200 G;731409;KRAS EXPRESS;0,200 KG;KOM;2,69;13,45;;;2,69;3850102126903;HRANA;
VIOLETA TP PREMIUM 16 KOM 3 SL. PAMUK;731647;VIOLETA;16 KOM;KOM;5,49;0,34;;;5,49;3859892288075;DROGERIJA;
SOK YIPPY MULTI 0,2 L BRIK;731668;RAUCH;0,200 L;KOM;,69;3,45;;;,69;9008700149228;PICE;
VINO VRBNICKA ZLAHTINA 1 L VRBNIK;731743;PZ VRBNIK;1 L;KOM;5,45;5,45;;;6,32;3859889467070;PICE;
SIR TOPLJENI CLASSIC 280 G ZDENKA;731818;ZDENKA;0,280 KG;KOM;3,99;14,25;;;3,99;3858888590802;HRANA;
SIR TOPLJENI TARTUF 140 G ZDENKA;731833;ZDENKA;0,140 KG;KOM;3,19;22,79;;;3,19;3858888590390;HRANA;
ROSAL KR/RUKE 75 ML VRLO SUHA I OSJET.KOZA;731954;ROSAL;0,075 L;KOM;2,19;29,20;;;2,19;3856007903571;DROGERIJA;
STALAK COKANJCICA 500 ML;732710;DJANIC;0,500 L;KOM;37,02;74,04;;;37,02;3859891109029;PICE;
BEBIMIL 4 JUNIOR 500 G;732805;VIVERA DOJENACKA HRANA - BEBIMIL;0,500 KG;KOM;8,9;17,80;;;8,9;9007253000017;HRANA;
SIGNAL CETK.CLASSIC FRESH;732871;SIGNAL;1 KOM;KOM;2,53;2,53;;;2,53;8413300264270;DROGERIJA;
VRHNJE ZA KUHANJE 200 ML MEGGLE;732945;MEGGLE;0,200 L;KOM;1,79;8,95;;;1,79;3870085021811;HRANA;
COK.MLIJ.MILKY MAX 200ML MEGGLE;732951;MEGGLE;0,200 L;KOM;,89;4,45;;;,89;3870085010235;HRANA;
ELMEX PASTA 75 ML PRO.KARIJESA;733003;ELMEX;0,075 L;KOM;4,79;63,87;;;4,79;8718951477575;DROGERIJA;
ELMEX PASTA JUNIOR 75 ML 6-12 GOD.;733005;ELMEX;0,075 L;KOM;3,85;51,33;;;3,85;8718951470583;DROGERIJA;
ELMEX PASTA SENSITIVE 75 ML;733007;ELMEX;0,075 L;KOM;4,79;63,87;;;4,79;8718951470613;DROGERIJA;
ELMEX PASTA KIDS 50 ML 0-6 GOD;733009;ELMEX;0,050 L;KOM;3,45;69,00;;;3,45;8718951470644;DROGERIJA;
GAZANIJA;733472;;;KOM;;;1,49;1,99;1,49;3859891968305;HRANA;
UMAK ARRABBIATA 400 G BARILLA STAKLO;733911;BARILLA UMACI;0,400 KG;KOM;;4,48;1,79;3,29;3,29;8076809513388;HRANA;
HALTA PREHRA.PRIPRA. ZA KUHANJE NA BILJNOJ BAZI 200 ML POHIT;734094;HALTA;0,200 L;KOM;,99;4,95;;;,99;8004172000501;HRANA;
MILKA MALINA 100 G DVOSTRUKO PUNJENJE;734191;MILKA CHOCO PROGRAM;0,100 KG;KOM;2,49;24,90;;;2,49;7622300590062;HRANA;
GELCAP BY GENERA 300 ML EXTRA STRONG;734359;GENERA;0,300 L;KOM;1,99;6,63;;;1,99;8003693402498;DROGERIJA;
FELCE SREDSTVO ZA PRANJE PODA 1 L CLASSIC;734524;FELCE;1 L;KOM;3,29;3,29;;;3,29;8001280001703;DROGERIJA;
FELCE SREDSTVO ZA PRANJE  PODA 1 L SPRING;734525;FELCE;1 L;KOM;3,29;3,29;;;3,29;8001280001710;DROGERIJA;
FELCE 750 ML KUHINJA PUMPICA;734526;FELCE;0,750 L;KOM;2,65;3,53;;;3,49;8001280001727;DROGERIJA;
FELCE 750 ML STAKLO PUMPICA;734527;FELCE;0,750 L;KOM;2,89;3,85;;;2,89;8001280001741;DROGERIJA;
FELCE 750 ML KUPAONICA PUMPICA;734528;FELCE;0,750 L;KOM;3,29;4,39;;;3,29;8001280001765;DROGERIJA;
SENSOD.75 ML REPAIR PROTECT;734536;SENSODYNE;0,075 L;KOM;6,99;93,20;;;6,99;5054563103789;DROGERIJA;
GILLETE SIMPLY VENUS 2 4+2 KOM;734543;GILLETTE;6 KOM;KOM;5,31;0,89;;;5,31;7702018069316;DROGERIJA;
CAMPANULA CAMPANULAHEARTS 10/6;734652;;;KOM;3,59;;;;3,59;8717432671105;HRANA;
PIVO DOCK 4% 0,5 L LIMENKA;734708;VAN PUR;0,500 L;KOM;,85;1,70;;;,79;5999860191254;PICE;
MLIJ.DUKAT 2,8% 8X1 L BOCA DUKAT (85 KOM/PAL);734797;DUKAT;8 L;KOM;7,99;1,00;;;7,99;3850354006077;HRANA;
ACETO BALSAMICO 500 ML ZVIJEZDA;734969;ZVIJEZDA OCAT I ACETO;0,500 L;KOM;3,69;7,38;;;3,69;3858882214063;HRANA;
DOVE MEN DEO 150 ML INVISIBLE DRY;735054;DOVE;0,150 L;KOM;5,35;35,67;;;5,35;8720181284373;DROGERIJA;
EXTRA MIX 1 KG TIGRICE MY PET;735056;CORTINA KUCNI LJUBIMCI;1 KG;KOM;5,57;5,57;;;5,57;8000673400017;HRANA;
BAR U KLASU 200 G MY PET;735060;CORTINA KUCNI LJUBIMCI;0,200 KG;KOM;4,99;24,95;;;4,99;8019965300379;HRANA;
PIJESAK ZA PTICE 1 KG NATURAL;735062;CORTINA KUCNI LJUBIMCI;1 KG;KOM;1,99;1,99;;;2,71;8026406010940;HRANA;
KOST PRSUTA 400 G ALL PET;735080;CORTINA KUCNI LJUBIMCI;0,400 KG;KOM;3,32;8,30;;;3,32;8019965300584;HRANA;
SOK CAPPY NARANCA 100% 0,33 L PET;735145;CAPPY;0,500 L;KOM;1,62;3,24;;;1,62;90492341;PICE;
SOK CAPPY JABUKA 100% 0,33 L PET;735146;CAPPY;0,500 L;KOM;1,18;2,36;;;1,18;50112234;PICE;
KRPICE SA ZELJEM;735189;PLODINE GASTRO;;KG;3,97;;;;3,97;;HRANA;
DUVED RIZA;735193;PLODINE GASTRO;;KG;3,32;;;;3,32;;HRANA;
S.KAJZERICA PSENICNA 65 G (735263 PDV5%);735262;PAN PEK - PEKARSTVO;0,065 KG;KOM;,13;2,00;;;,13;3859888751798;HRANA;
KAJZERICA PSENICNA 60 G;735263;PAN PEK - PEKARSTVO;0,060 KG;KOM;;1,50;,09;,09;,13;;HRANA;
KASICA MLJECNA VANILIJA 190 G FRUTEK;735294;FRUTEK;0,190 KG;KOM;1,75;9,21;;;1,75;3838945020541;HRANA;
SOK YIPPY MULTI 0,33 L PET;735381;RAUCH;0,330 L;KOM;;3,48;1,15;1,32;1,39;9008700141963;PICE;
SOK YIPPY VISNJA 0,33 L PET;735382;RAUCH;0,330 L;KOM;;3,48;1,15;1,32;1,39;9008700142007;PICE;
ORBIT STR. MINT MINTS 28 G;735386;WRIGLEY;0,028 KG;KOM;,99;35,36;;;,99;42211631;HRANA;
ORBIT FRE.MINT MINTS 28 G;735387;WRIGLEY;0,028 KG;KOM;,99;35,36;;;,99;42211501;HRANA;
KEKS DOMACICA 300 G ORIGINAL;735388;DOMACICA;0,300 KG;KOM;;8,17;2,45;3,19;3,49;3850102314126;HRANA;
VINO CHARDONAY MIRAZ 0,75 L;735390;FERAVINO VINA;0,750 L;KOM;10,99;14,65;;;10,99;3859892201081;PICE;
VINO FRANKOVKA MIRAZ 0,75 L;735391;FERAVINO VINA;0,750 L;KOM;14,99;19,99;;;14,99;3859892201067;PICE;
VINO FRANKOVKA CLASSIC 0,75 L;735397;FERAVINO VINA;0,750 L;KOM;4,67;6,23;;;4,67;3859892201364;PICE;
VINO GRASEVINA CLASSIC 0,75 L;735398;FERAVINO VINA;0,750 L;KOM;4,67;6,23;;;4,67;3859892201357;PICE;
VINO PLAVAC MEDITERANO 0,75 L BADEL;735411;VINA BADEL;0,750 L;KOM;12,02;16,03;;;12,02;3850112170309;PICE;
RUM BACARDI GOLD 0,7 L;735414;BACARDI;0,700 L;KOM;17,99;25,70;;;17,99;5010677028875;PICE;
SANITAR 750 ML LAVANDA;735415;SANITAR;0,750 L;KOM;2,25;3,00;;;2,25;3850111501517;DROGERIJA;
LIKER DISARONNO 0,7 L;735416;DISARONNO;0,700 L;KOM;24,02;34,31;;;24,02;8001110016303;PICE;
PERMETAL GOLD 650 ML;735441;PERMETAL;0,650 L;KOM;3,29;5,06;;;3,75;3850111753619;DROGERIJA;
ZACINSKO BILJE 15 G NA DAL.KOTANY;735478;KOTANYI ZACINI;0,015 KG;KOM;2,09;139,33;;;2,09;9001414041444;HRANA;
PAPRIKA SLATKA MLJE. 45 G VR. KOTANYI;735998;KOTANYI ZACINI;0,045 KG;KOM;1,05;23,33;;;1,05;9001414119242;HRANA;
PAPRIKA LJUTA MLJE. 35 G VR. KOTANYI;736001;KOTANYI ZACINI;0,035 KG;KOM;1,19;34,00;;;1,19;9001414119211;HRANA;
PEPERONCINI MRVLJENI 27 G VR. KOTANYI;736002;KOTANYI ZACINI;0,027 KG;KOM;1,29;47,78;;;1,29;9001414015322;HRANA;
GILL.BLUE 3 BRIT.6+2 KOM;736064;GILLETTE;8 KOM;KOM;9,79;1,22;;;9,79;7702018489978;DROGERIJA;
CRO.MIDI DOUB.KAK/VAN 60 G 7 DAYS;736084;CHIPITA;0,060 KG;KOM;,85;14,17;;;,85;7622201389383;HRANA;
CRISPY POPS PAN.PIL.OKRUGL.4X1 RFZ SMR;736090;GASTRO SIROVINE;;KG;5,73;;;;9,58;3850159643132;HRANA;
NAPOLITANKA CH.CR. 840 G KRAS;736093;KRAS TJEDNE NARUDZBE;0,840 KG;KOM;4,99;5,94;;;4,99;3850102326150;HRANA;
RIZOT S GLJIVAMA BEZ GLUT. 210 G SCOTTI;736140;NIKAS KOZNERVIRANO;0,210 KG;KOM;3,32;15,81;;;3,32;8001860257827;HRANA;
RIZOT S TARTUFIMA BEZ GLUTENA 210 G SCOTTI;736143;NIKAS KOZNERVIRANO;0,210 KG;KOM;3,32;15,81;;;3,32;8001860257131;HRANA;
RIZOT PLODOVI MORA BEZ GLUTENA 210 G SCOTTI;736145;NIKAS KOZNERVIRANO;0,210 KG;KOM;3,32;15,81;;;3,32;8001860257803;HRANA;
ARTICOKE CIJELE 280 G PONTI STAKLO;736155;PONTI;0,280 KG;KOM;3,45;12,32;;;3,45;80724353;HRANA;
REKORD  VISE.NAMJE.KRPA 3/1;736192;REKORD TIM;3 KOM;KOM;1,49;0,50;;;1,46;3858882683784;PROIZVODI ZA KUCANSTVO;
REKORD  MAG.SPUZ.KRPA ZA KUPAONU  1/1;736193;REKORD TIM;1 KOM;KOM;1,99;1,99;;;1,72;3858882683807;PROIZVODI ZA KUCANSTVO;
REKORD MAG.KRPA ZA VELIKE POVRSI;736194;REKORD TIM;1 KOM;KOM;3,29;3,29;;;2,99;3858882683814;PROIZVODI ZA KUCANSTVO;
ARTICOKE ALLA CONT.285 G POLLI STAKLO;736241;POLLI;0,285 KG;KOM;4,25;14,91;;;4,25;80482475;HRANA;
KAPARI U OCTU 100 G POLLI;736252;POLLI;0,055 KG;KOM;2,39;43,45;;;2,39;80090212;HRANA;
LUKOVICE U OCTU 300 G POLLI;736254;POLLI;0,180 KG;KOM;2,65;14,72;;;2,65;8001310100284;HRANA;
SAMPINJONI REZ.200 G PODRAVKA LIMENKA;736384;PODRAVKA KONZERVIRANO POVRCE;0,105 KG;KOM;1,59;15,14;;;1,59;3850104257841;HRANA;
BJELILO ZA KAVU 150 G ANAMARIJA;736456;ANAMARIA;0,150 KG;KOM;1,99;13,27;;;1,99;3858881772977;HRANA;
